index,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance
BCIN_01g00200,243.58874336878273,0.8220024818199809,0.1687472613905881,4.871204871985128,1.1091975164998837e-06,6.21049158247572e-06,UP
BCIN_01g00210,1661.342489224562,0.8451904531772629,0.286030258635589,2.954898748156783,0.0031277168057668,0.0090862935625481,UP
BCIN_01g00220,957.8375591516808,1.2640665826091204,0.2568498007567086,4.921423255478637,8.591709311407613e-07,4.889217096114085e-06,UP
BCIN_01g00350,5674.900098029309,0.6605587940023625,0.2135327376049524,3.0934778498669058,0.0019782531991948,0.0060821350451807,UP
BCIN_01g00360,1798.888683852059,1.2594319395082936,0.1927144930569505,6.535221713377362,6.351537872171793e-11,5.639612877797017e-10,UP
BCIN_01g00400,8468.460426508305,3.039594439059759,0.1328013862951707,22.888273412325756,6.080123449662435e-116,1.8610244525508431e-113,UP
BCIN_01g00410,863.2677198781752,0.5281240348678377,0.1433396117414059,3.6844249014753014,0.0002292195936866,0.0008819031783633,UP
BCIN_01g00590,189.7256865172205,1.1380438781169022,0.2254034704568218,5.048919059721866,4.443169243946406e-07,2.6160813644044413e-06,UP
BCIN_01g00610,765.6315755111133,0.9224057894559112,0.1484836862626158,6.212169246825519,5.22580959274046e-10,4.252820967681472e-09,UP
BCIN_01g00620,340.61645929497786,1.0254445848797924,0.2351123957230898,4.3615079576133375,1.291690975098068e-05,6.12178187294865e-05,UP
BCIN_01g00630,1871.7609151240956,0.9339938213055828,0.1520100041475615,6.14429179541974,8.03210688352758e-10,6.408818663981927e-09,UP
BCIN_01g00710,131.27154470138882,0.916463606505053,0.2400554836782351,3.817715773297893,0.0001346929708645,0.0005398988162809,UP
BCIN_01g00750,3625.894521502454,1.200277831039706,0.2277070743845623,5.2711486205853255,1.3557263220333217e-07,8.483105248429967e-07,UP
BCIN_01g00760,214.18733106199423,0.9894797357118924,0.247689932100829,3.9948322780802306,6.47400671423456e-05,0.0002743733845544,UP
BCIN_01g00880,1390.561169931775,0.4564695527237326,0.1310802226902128,3.482367845853646,0.0004970004663133,0.0017717399347481,UP
BCIN_01g00900,303.7980439728366,1.5882079753631844,0.2419119787466603,6.565230806641526,5.195232787968269e-11,4.661748378715175e-10,UP
BCIN_01g00950,335.7386903683967,0.960147134561882,0.1614782533026772,5.945984149098813,2.748007401570034e-09,2.08111983215809e-08,UP
BCIN_01g00960,51.644537243099585,1.2395116912264847,0.3539347634547923,3.5020908348405455,0.0004616222099761,0.0016601224320257,UP
BCIN_01g00970,905.4050499066684,2.055319074004642,0.2779102462587427,7.395621793991283,1.4074808370497364e-13,1.5955793563221236e-12,UP
BCIN_01g01050,83.94378253950094,0.9993689589049602,0.2824026161805752,3.5388091386020974,0.0004019363485404,0.0014684803131855,UP
BCIN_01g01100,510.7129854222432,1.4784726281651843,0.166320775951567,8.889284093983054,6.150389024487334e-19,1.0410312851125332e-17,UP
BCIN_01g01115,57.613053700818405,2.525634876797038,0.4359174963532249,5.7938369024548395,6.879627171649794e-09,4.96116569400583e-08,UP
BCIN_01g01180,2136.7343465471095,0.7530867397062413,0.1636147496610588,4.60280470597132,4.168390639226963e-06,2.1383378237263455e-05,UP
BCIN_01g01300,1010.6962036677974,1.3570693027184222,0.2275581218151243,5.963616204483133,2.4671584967393644e-09,1.8761642150152562e-08,UP
BCIN_01g01400,504.2892744185658,0.7879481850694295,0.1987878410040175,3.963764489265241,7.37770392708342e-05,0.0003094591533023,UP
