Artigo,Funexpression
BCIN_05g01500,BCIN_01g10050
BCIN_02g02810,BCIN_01g10060
BCIN_02g04770,BCIN_01g10180
BCIN_01g09180,BCIN_01g10270
BCIN_03g02340,BCIN_01g10280
BCIN_08g05220,BCIN_01g10330
BCIN_10g00720,BCIN_01g10350
BCIN_16g01120,BCIN_01g10380
BCIN_04g01700,BCIN_01g10400
BCIN_03g07970,BCIN_01g10430
BCIN_05g00650,BCIN_01g10460
BCIN_02g05780,BCIN_01g10710
BCIN_04g03320,BCIN_01g10720
BCIN_05g00110,BCIN_01g10750
BCIN_16g00310,BCIN_01g10760
BCIN_05g07660,BCIN_01g10770
BCIN_07g06180,BCIN_01g10780
BCIN_15g05140,BCIN_01g10810
BCIN_02g07280,BCIN_01g10840
BCIN_11g06470,BCIN_01g10960
BCIN_01g06290,BCIN_01g10970
BCIN_07g04620,BCIN_01g10980
BCIN_16g00180,BCIN_01g11360
BCIN_03g01970,BCIN_01g11450
BCIN_16g01610,BCIN_01g11460
BCIN_13g03210,BCIN_01g11500
BCIN_01g01300,BCIN_01g11510
BCIN_05g06830,BCIN_01g11550
BCIN_02g02000,BCIN_02g00030
BCIN_11g02590,BCIN_02g00090
BCIN_11g02040,BCIN_02g00120
BCIN_15g02090,BCIN_02g00170
BCIN_03g01560,BCIN_02g00190
BCIN_08g01020,BCIN_02g00210
BCIN_12g03100,BCIN_02g00850
BCIN_11g04210,BCIN_02g00880
BCIN_10g05240,BCIN_02g00890
BCIN_02g07270,BCIN_02g00910
BCIN_14g05450,BCIN_02g00970
BCIN_01g03910,BCIN_02g01130
BCIN_13g02790,BCIN_02g01150
BCIN_05g02290,BCIN_02g01230
BCIN_08g01690,BCIN_02g01280
BCIN_04g06890,BCIN_02g01390
BCIN_05g05550,BCIN_02g01490
BCIN_10g02450,BCIN_02g01510
BCIN_11g02360,BCIN_02g01550
BCIN_01g07630,BCIN_02g01660
BCIN_10g05630,BCIN_02g01760
BCIN_06g03850,BCIN_02g01770
BCIN_04g05500,BCIN_02g01780
BCIN_10g06090,BCIN_02g01800
BCIN_04g05960,BCIN_02g01820
BCIN_03g02100,BCIN_02g01850
BCIN_02g03390,BCIN_02g02010
BCIN_10g00990,BCIN_02g02050
BCIN_15g05380,BCIN_02g02270
BCIN_04g06380,BCIN_02g02360
BCIN_02g00360,BCIN_02g02490
BCIN_02g01730,BCIN_02g02530
BCIN_11g06490,BCIN_02g02570
BCIN_05g05310,BCIN_02g02710
BCIN_16g04020,BCIN_02g02760
BCIN_16g01810,BCIN_02g02830
BCIN_05g01430,BCIN_02g02840
BCIN_05g01150,BCIN_02g02870
BCIN_11g02050,BCIN_02g02890
BCIN_03g07350,BCIN_02g02900
BCIN_10g05310,BCIN_02g02930
BCIN_15g04010,BCIN_02g02960
BCIN_12g04740,BCIN_02g03060
BCIN_14g05270,BCIN_02g03170
BCIN_09g03790,BCIN_02g03200
BCIN_01g04040,BCIN_02g03290
BCIN_09g05110,BCIN_02g03300
BCIN_02g00350,BCIN_02g03340
BCIN_03g00820,BCIN_02g03410
BCIN_10g00540,BCIN_02g03510
BCIN_08g01200,BCIN_02g03590
BCIN_12g02320,BCIN_02g03850
BCIN_01g02910,BCIN_02g03950
BCIN_10g00030,BCIN_02g04100
BCIN_04g05110,BCIN_02g04120
BCIN_02g05470,BCIN_02g04180
BCIN_12g02040,BCIN_02g04260
BCIN_05g03620,BCIN_02g04290
BCIN_08g03480,BCIN_02g04330
BCIN_05g01520,BCIN_02g04340
BCIN_13g00720,BCIN_02g04350
BCIN_06g01220,BCIN_02g04380
BCIN_15g00260,BCIN_02g04560
BCIN_14g00090,BCIN_02g04720
BCIN_02g06510,BCIN_02g04780
BCIN_03g06220,BCIN_02g04830
BCIN_11g06460,BCIN_02g04880
BCIN_05g06230,BCIN_02g04960
BCIN_05g08230,BCIN_02g04980
BCIN_07g05120,BCIN_02g05030
BCIN_10g00020,BCIN_02g05110
BCIN_07g05420,BCIN_02g05520
BCIN_09g04320,BCIN_02g05660
BCIN_08g01910,BCIN_02g05670
BCIN_07g01270,BCIN_02g05950
