index,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance
BCIN_01g00010,892.8684085892946,-6.466505856996407,1.5188241056175158,-4.257573890932741,2.066573659630988e-05,0.00014076190356349886,DOWN
BCIN_01g00020,463.39176757780336,-6.787651093610607,1.431061685774882,-4.743087709692453,2.104850808576058e-06,1.727112105565759e-05,DOWN
BCIN_01g00030,2686.940886180566,-8.151355748873538,1.5581671919419455,-5.231374265244601,1.682544610402213e-07,1.6555063389337407e-06,DOWN
BCIN_01g00040,1647.7180575297689,-7.166067733754326,1.4856307619219131,-4.82358599285048,1.409999352306057e-06,1.183685000229511e-05,DOWN
BCIN_01g00050,365.2913790834936,-3.483758307496082,1.024933897610936,-3.399007795152965,0.0006763078877400204,0.0032081198582227665,DOWN
BCIN_01g00060,1411.9660543959346,-4.334631094183845,1.1926281000264856,-3.6345203455189283,0.0002784982805073184,0.001463414938523997,DOWN
BCIN_01g00070,1875.1906723577529,-1.24363934472638,0.42377594619240905,-2.9346624222077113,0.0033391074419379216,0.012971296968924587,DOWN
BCIN_01g00080,921.1453154582308,-3.3889004307417934,1.2792613914269542,-2.6491070968394026,0.008070475230449873,0.02760229931580093,DOWN
BCIN_01g00090,1435.4394198423545,-5.180419347940115,1.4081734555066616,-3.6788219005848233,0.00023431381714309512,0.0012588361773648593,DOWN
BCIN_01g00100,464.69167899601194,-8.929069503847035,1.833471153891494,-4.870035443369437,1.1157823260091033e-06,9.537483827631681e-06,DOWN
BCIN_01g00110,551.2325616167445,-8.32321388428084,2.1430791304729353,-3.8837641438111854,0.00010285168195586727,0.0005997552013016568,DOWN
BCIN_01g00120,559.387764981448,-4.559164425658065,1.3022537274732375,-3.500980131194718,0.0004635504021479414,0.002290508259034521,DOWN
BCIN_01g00130,617.7716374596388,-2.3334213574401237,0.953642275731061,-2.4468518403835717,0.014411006505042331,0.04519888621542508,DOWN
BCIN_01g00140,212.24508616296202,-0.5240678841957015,0.2084421650132004,-2.514212439515359,0.011929854756988007,0.03853261000350541,DOWN
BCIN_01g00150,5.933635883841095,-1.9294835603890044,0.876717622588788,-2.2008038970308244,0.02774990959973103,0.07728812893710008,NOT_SIGNIFICANT
BCIN_01g00160,2334.486248950236,-3.433528244443896,0.6676152452346856,-5.142974593453021,2.7042220500378223e-07,2.5494364531988373e-06,DOWN
BCIN_01g00170,8726.024085917938,-0.06039913110286487,0.22349949922366946,-0.27024280283697555,0.7869734653575561,0.8742770003666529,NOT_SIGNIFICANT
BCIN_01g00180,329.2222231955584,-0.10334583121978112,0.18370568285479524,-0.5625619720292909,0.5737331930386154,0.7232492058602485,NOT_SIGNIFICANT
BCIN_01g00190,813.4109551788346,0.4019439768524464,0.1518597238147627,2.6468109302156675,0.00812547686068742,0.02775670779639311,UP
BCIN_01g00200,310.8050941822291,0.6632289938884696,0.21890176005703052,3.0298020158251737,0.0024471409785290087,0.009877997228272237,UP
BCIN_01g00210,1418.8549599878315,0.023791479440809053,0.21218537703126328,0.11212591448893121,0.9107235701949788,0.9507238456093987,NOT_SIGNIFICANT
BCIN_01g00220,904.6629387449481,0.3869544910036784,0.33553096506259195,1.1532601497196946,0.2488036214966982,0.41861135002715083,NOT_SIGNIFICANT
BCIN_01g00230,462.1455081616205,0.3328355066472335,0.16264680380414448,2.0463697955480655,0.040720001461006634,0.10512180028865736,NOT_SIGNIFICANT
BCIN_01g00240,32.23679870869939,-0.21331988569063207,0.43555430026827396,-0.4897664552025786,0.6242991703664695,0.7618451530923577,NOT_SIGNIFICANT
BCIN_01g00250,98.30298014726144,-0.2553908887224942,0.3310638526233093,-0.7714248677371698,0.440455139870647,0.6159232550397207,NOT_SIGNIFICANT
BCIN_01g00260,183.29799873142937,-0.965863982486899,0.26323459168212915,-3.6692137470034147,0.00024329759585431626,0.0013002802252821287,DOWN
BCIN_01g00270,467.52671456666326,-0.12090150779443545,0.15171198532869773,-0.7969146770605592,0.4255005862374246,0.6032074499246036,NOT_SIGNIFICANT
BCIN_01g00280,1200.2044372024527,0.1591957362447521,0.11794072210484285,1.3497944849212964,0.17708191440439836,0.3279100670085391,NOT_SIGNIFICANT
BCIN_01g00290,172.89393335151047,0.31800736205820734,0.23095446027838454,1.3769266966088995,0.16853491237753615,0.3158207456495879,NOT_SIGNIFICANT
BCIN_01g00300,2.073209714756857,-0.4794675954877306,1.23920515967149,-0.38691542860815414,0.6988188186759892,0.8174533081926791,NOT_SIGNIFICANT
BCIN_01g00310,55.35595582126717,-0.41420432428605786,0.25732819543761154,-1.609634434274345,0.107477686266961,0.225441000462406,NOT_SIGNIFICANT
BCIN_01g00320,0.3613485954847054,2.099073223088881,4.323484453198471,0.48550497771213386,0.6273181826018832,,NOT_SIGNIFICANT
BCIN_01g00330,1855.2581697953776,-0.1508281251816591,0.13152411246499984,-1.1467716630423666,0.25147600359575595,0.4209700826909044,NOT_SIGNIFICANT
BCIN_01g00340,1005.0657902143547,-0.16220915767749333,0.1586634983882823,-1.0223470383877082,0.3066166775020601,0.4819789994053592,NOT_SIGNIFICANT
BCIN_01g00350,7459.224391582376,0.6870821649520732,0.18748110903762713,3.664807449022381,0.00024752473529647605,0.0013209917896021312,UP
BCIN_01g00360,1613.8689142520961,1.278797096971227,0.1617194871257604,7.907501561495656,2.626058421772882e-15,6.864309554453198e-14,UP
BCIN_01g00370,11332.917057133076,-0.3360225515442016,0.13490542327658328,-2.490800913579936,0.012745551569272416,0.04078933060573861,DOWN
