index,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance
BCIN_01g00180,1135.2366244025543,2.3961588522628463,0.1656195350576593,14.467851581811528,1.934197710489088e-47,1.309451850001113e-44,UP
BCIN_01g00330,2492.268297760846,0.4878785246227068,0.1254581057488387,3.8887764302724026,0.0001007508729576,0.0006802784439275,UP
BCIN_01g00380,288.42881702747746,0.6449721759080761,0.2531435233022946,2.5478517778938956,0.0108388512535725,0.0352783764359067,UP
BCIN_01g00390,896.1738228649015,0.590458016460053,0.1582519374299142,3.731126620307899,0.000190625377896,0.0011738795300565,UP
BCIN_01g00430,2135.141024268956,0.568645855815503,0.1587074972887088,3.582980423294463,0.0003396960750738,0.0019174506957787,UP
BCIN_01g00450,10093.253200665778,0.659012159574386,0.2490734890795642,2.6458542898713335,0.008148490757434,0.0279760544800399,UP
BCIN_01g00460,1569.5398087455494,0.711900831199275,0.1420531620057757,5.011509924505095,5.400459768599355e-07,6.449589880205978e-06,UP
BCIN_01g00520,2835.3036028878646,0.7589870624432814,0.1377421304739077,5.510202723247808,3.58420661551241e-08,5.803307333218299e-07,UP
BCIN_01g00530,961.7572269469072,0.3356733655436785,0.1156777663020513,2.9017967434397627,0.0037102918962173,0.0144412079841275,UP
BCIN_01g00540,1080.1201129712226,0.5078709242863922,0.1439999630862924,3.526882322754825,0.0004204836034045,0.0023049991862744,UP
BCIN_01g00640,193.01937495290488,0.8497407324780626,0.1741284343650325,4.879965386334988,1.061044611693696e-06,1.1984603997774885e-05,UP
BCIN_01g00840,1296.2082106289124,0.6265505166368177,0.1855663730324818,3.3764227127893753,0.0007343500029284,0.0036826292739448,UP
BCIN_01g00920,2321.0673767766875,2.946344768721336,0.1676314505304283,17.576324486833208,3.7405206454687847e-69,1.0129329907929468e-65,UP
BCIN_01g01080,2297.8710312353787,0.7838294589589367,0.1296396457587297,6.046217222914271,1.4828613912022336e-09,3.284735089877831e-08,UP
BCIN_01g01140,2305.2472821443503,0.3368394549852151,0.1059287375211263,3.1798684933636263,0.0014734190190613,0.0067172032047441,UP
BCIN_01g01190,10496.033624989292,0.9021867647490122,0.2130744889588952,4.23413787899806,2.294301551210559e-05,0.0001853234481932,UP
BCIN_01g01220,1094.0720634564923,0.645688853668517,0.2157154971174077,2.9932427771616568,0.002760300773511,0.0112581092119414,UP
BCIN_01g01280,1140.6018793573555,0.3835417493705563,0.1196462871036558,3.2056301842302393,0.0013476706924273,0.006219841900457,UP
BCIN_01g01310,40.319135887377165,0.9691310670242982,0.354080138328649,2.737038772066828,0.0061994985866722,0.022140774378778,UP
BCIN_01g01330,2315.5273233874223,1.185228981077496,0.43234019367066,2.741426770929277,0.00611729948785,0.0219049877859147,UP
