Artigo,Funexpression
BCIN_04g00870,BCIN_01g09490
BCIN_02g02610,BCIN_01g09510
BCIN_06g01180,BCIN_01g09540
BCIN_05g02460,BCIN_01g09610
BCIN_12g06020,BCIN_01g09630
BCIN_07g05140,BCIN_01g09640
BCIN_13g00300,BCIN_01g09760
BCIN_11g05230,BCIN_01g09850
BCIN_01g01790,BCIN_01g10130
BCIN_11g05590,BCIN_01g10140
BCIN_04g03420,BCIN_01g10150
BCIN_09g03950,BCIN_01g10290
BCIN_04g02800,BCIN_01g10300
BCIN_06g03660,BCIN_01g10380
BCIN_10g03050,BCIN_01g10410
BCIN_10g01230,BCIN_01g10450
BCIN_01g04110,BCIN_01g10520
BCIN_16g00650,BCIN_01g10580
BCIN_07g06220,BCIN_01g10590
BCIN_14g01240,BCIN_01g10660
BCIN_03g06330,BCIN_01g10680
BCIN_11g02580,BCIN_01g10690
BCIN_12g04620,BCIN_01g10740
BCIN_14g01200,BCIN_01g10750
BCIN_02g07760,BCIN_01g10760
BCIN_04g01900,BCIN_01g10910
BCIN_13g05470,BCIN_01g10990
BCIN_01g02250,BCIN_01g11050
BCIN_09g03170,BCIN_01g11060
BCIN_13g01610,BCIN_01g11140
BCIN_01g11530,BCIN_01g11240
BCIN_10g01780,BCIN_01g11330
BCIN_09g05000,BCIN_01g11500
BCIN_01g07830,BCIN_01g11510
BCIN_06g01900,BCIN_02g00002
BCIN_09g02510,BCIN_02g00009
BCIN_11g04160,BCIN_02g00013
BCIN_02g04520,BCIN_02g00030
BCIN_02g06990,BCIN_02g00070
BCIN_01g06960,BCIN_02g00080
BCIN_04g01790,BCIN_02g00150
BCIN_14g03900,BCIN_02g00160
BCIN_05g06350,BCIN_02g00170
BCIN_05g05870,BCIN_02g00220
BCIN_01g08190,BCIN_02g00230
BCIN_15g02900,BCIN_02g00250
BCIN_03g04550,BCIN_02g00260
BCIN_11g02240,BCIN_02g00270
BCIN_01g05710,BCIN_02g00280
BCIN_01g00400,BCIN_02g00350
BCIN_07g00730,BCIN_02g00360
BCIN_01g01550,BCIN_02g00380
BCIN_01g01190,BCIN_02g00390
BCIN_01g00520,BCIN_02g00400
BCIN_04g03150,BCIN_02g00410
BCIN_11g04190,BCIN_02g00420
BCIN_09g01320,BCIN_02g00470
BCIN_16g00820,BCIN_02g00480
BCIN_02g06270,BCIN_02g00620
BCIN_09g02800,BCIN_02g00650
BCIN_13g02720,BCIN_02g00680
BCIN_01g10960,BCIN_02g00790
BCIN_01g10120,BCIN_02g00800
BCIN_13g03410,BCIN_02g00810
BCIN_15g02550,BCIN_02g00960
BCIN_16g01590,BCIN_02g01010
BCIN_05g05000,BCIN_02g01070
BCIN_06g00920,BCIN_02g01430
BCIN_01g01830,BCIN_02g01470
BCIN_02g04270,BCIN_02g01480
BCIN_02g06680,BCIN_02g01500
BCIN_10g05950,BCIN_02g01610
BCIN_12g04580,BCIN_02g01620
BCIN_11g04320,BCIN_02g01630
BCIN_03g01700,BCIN_02g01640
BCIN_06g03110,BCIN_02g01650
BCIN_06g05780,BCIN_02g01690
BCIN_14g02370,BCIN_02g01720
BCIN_03g03150,BCIN_02g01730
BCIN_10g05060,BCIN_02g01740
BCIN_02g04350,BCIN_02g01810
BCIN_06g05330,BCIN_02g01840
BCIN_01g05450,BCIN_02g02000
BCIN_12g04500,BCIN_02g02090
BCIN_09g03330,BCIN_02g02140
BCIN_12g04810,BCIN_02g02150
BCIN_01g00920,BCIN_02g02170
BCIN_13g04830,BCIN_02g02320
BCIN_02g07030,BCIN_02g02400
BCIN_04g03320,BCIN_02g02460
BCIN_09g01580,BCIN_02g02480
BCIN_15g04510,BCIN_02g02670
BCIN_09g06580,BCIN_02g02780
BCIN_07g03000,BCIN_02g02790
BCIN_15g03360,BCIN_02g02810
BCIN_03g02170,BCIN_02g02820
BCIN_10g05960,BCIN_02g02850
BCIN_07g05620,BCIN_02g02940
BCIN_10g05620,BCIN_02g02950
BCIN_13g05050,BCIN_02g02980
BCIN_04g04490,BCIN_02g03000
BCIN_16g02630,BCIN_02g03390
BCIN_15g03490,BCIN_02g03660
BCIN_01g10020,BCIN_02g03670
BCIN_14g01770,BCIN_02g03790
BCIN_09g04540,BCIN_02g03970
BCIN_02g01390,BCIN_02g04040
BCIN_04g06340,BCIN_02g04060
BCIN_01g08240,BCIN_02g04090
BCIN_16g02110,BCIN_02g04370
BCIN_10g02710,BCIN_02g04400
BCIN_13g05730,BCIN_02g04470
BCIN_02g02450,BCIN_02g04490
BCIN_02g07630,BCIN_02g04500
BCIN_12g04980,BCIN_02g04550
BCIN_01g08300,BCIN_02g04600
BCIN_12g01020,BCIN_02g04610
BCIN_02g05980,BCIN_02g04620
BCIN_06g07190,BCIN_02g04670
BCIN_16g01830,BCIN_02g04690
BCIN_15g00570,BCIN_02g04730
BCIN_02g02540,BCIN_02g04770
BCIN_13g01520,BCIN_02g04800
BCIN_14g04030,BCIN_02g04930
BCIN_07g05710,BCIN_02g05160
BCIN_11g05830,BCIN_02g05460
BCIN_01g05190,BCIN_02g05470
BCIN_03g03720,BCIN_02g05500
BCIN_16g03910,BCIN_02g05600
BCIN_01g02630,BCIN_02g05610
BCIN_10g01660,BCIN_02g05690
BCIN_08g00110,BCIN_02g05720
BCIN_12g01080,BCIN_02g05780
BCIN_13g05760,BCIN_02g05830
BCIN_03g05930,BCIN_02g05840
BCIN_04g00880,BCIN_02g06020
BCIN_02g05130,BCIN_02g06030
BCIN_04g01840,BCIN_02g06150
BCIN_08g00640,BCIN_02g06210
BCIN_04g03370,BCIN_02g06250
BCIN_14g04080,BCIN_02g06280
BCIN_16g00500,BCIN_02g06290
BCIN_02g05670,BCIN_02g06300
BCIN_06g02560,BCIN_02g06310
BCIN_02g06140,BCIN_02g06320
BCIN_09g02600,BCIN_02g06340
BCIN_01g05720,BCIN_02g06350
BCIN_10g00520,BCIN_02g06390
BCIN_07g02180,BCIN_02g06450
BCIN_13g00120,BCIN_02g06510
BCIN_13g00680,BCIN_02g06840
BCIN_13g05060,BCIN_02g06860
BCIN_11g00090,BCIN_02g07070
BCIN_13g00040,BCIN_02g07120
BCIN_02g05250,BCIN_02g07210
BCIN_01g00630,BCIN_02g07270
BCIN_15g03720,BCIN_02g07280
BCIN_01g09720,BCIN_02g07390
BCIN_12g02170,BCIN_02g07480
BCIN_06g00365,BCIN_02g07570
BCIN_05g00130,BCIN_02g07820
BCIN_01g01180,BCIN_02g07900
BCIN_13g05260,BCIN_02g08170
BCIN_08g04760,BCIN_02g08230
BCIN_15g01120,BCIN_02g08290
BCIN_01g10330,BCIN_02g08570
BCIN_14g01400,BCIN_02g08590
BCIN_01g10100,BCIN_02g08710
BCIN_14g05530,BCIN_02g08780
BCIN_08g06990,BCIN_02g08800
BCIN_08g04780,BCIN_02g08860
BCIN_01g07600,BCIN_02g08880
BCIN_07g00950,BCIN_02g08890
BCIN_10g04340,BCIN_02g08900
BCIN_02g01900,BCIN_02g08910
BCIN_07g04700,BCIN_02g08920
BCIN_12g03740,BCIN_02g09090
BCIN_09g05800,BCIN_02g09120
BCIN_06g07480,BCIN_02g09240
BCIN_06g07090,BCIN_02g09260
BCIN_12g03940,BCIN_02g09270
BCIN_03g06810,BCIN_02g09320
BCIN_05g00410,BCIN_02g09340
BCIN_10g05670,BCIN_02g09400
BCIN_10g05610,BCIN_03g00050
BCIN_06g01380,BCIN_03g00100
BCIN_03g04340,BCIN_03g00150
BCIN_12g03950,BCIN_03g00180
BCIN_05g00090,BCIN_03g00200
BCIN_16g01760,BCIN_03g00230
BCIN_01g06730,BCIN_03g00250
BCIN_10g01270,BCIN_03g00290
BCIN_02g07550,BCIN_03g00420
BCIN_04g06790,BCIN_03g00480
BCIN_05g03370,BCIN_03g00530
BCIN_16g02300,BCIN_03g00550
BCIN_06g04390,BCIN_03g00570
BCIN_07g04780,BCIN_03g00630
BCIN_10g05100,BCIN_03g00640
BCIN_01g09170,BCIN_03g00800
BCIN_02g05190,BCIN_03g00820
BCIN_01g06300,BCIN_03g00890
BCIN_16g03600,BCIN_03g00900
BCIN_06g05850,BCIN_03g00910
BCIN_14g00400,BCIN_03g00920
BCIN_08g06680,BCIN_03g00950
BCIN_02g07920,BCIN_03g00960
BCIN_08g04710,BCIN_03g01000
BCIN_05g04070,BCIN_03g01040
BCIN_01g01350,BCIN_03g01100
BCIN_08g04050,BCIN_03g01130
BCIN_13g05510,BCIN_03g01250
BCIN_01g09000,BCIN_03g01490
BCIN_01g08020,BCIN_03g01500
BCIN_09g02560,BCIN_03g01600
BCIN_11g00800,BCIN_03g01610
BCIN_11g04640,BCIN_03g01660
BCIN_12g04970,BCIN_03g01780
BCIN_13g05280,BCIN_03g01970
BCIN_03g01030,BCIN_03g01980
BCIN_14g02900,BCIN_03g02100
BCIN_15g02400,BCIN_03g02110
BCIN_15g04610,BCIN_03g02190
BCIN_06g06030,BCIN_03g02200
BCIN_08g03170,BCIN_03g02210
BCIN_11g00960,BCIN_03g02280
BCIN_02g03350,BCIN_03g02340
BCIN_06g05400,BCIN_03g02370
BCIN_15g03310,BCIN_03g02420
BCIN_11g05180,BCIN_03g02460
BCIN_06g06140,BCIN_03g02490
BCIN_13g02670,BCIN_03g02500
BCIN_16g04340,BCIN_03g02570
BCIN_05g08330,BCIN_03g02620
BCIN_01g00640,BCIN_03g02700
BCIN_04g03850,BCIN_03g02710
BCIN_12g01260,BCIN_03g02960
BCIN_12g02300,BCIN_03g03200
BCIN_01g09970,BCIN_03g03270
BCIN_09g02400,BCIN_03g03280
BCIN_06g05900,BCIN_03g03390
BCIN_12g04940,BCIN_03g03520
BCIN_12g02450,BCIN_03g03530
BCIN_08g01960,BCIN_03g03540
BCIN_08g00090,BCIN_03g03610
BCIN_03g02760,BCIN_03g03740
BCIN_03g02900,BCIN_03g04010
BCIN_07g05350,BCIN_03g04040
BCIN_02g00840,BCIN_03g04310
BCIN_08g03670,BCIN_03g04430
BCIN_06g04000,BCIN_03g04460
BCIN_01g01850,BCIN_03g04850
BCIN_01g04230,BCIN_03g05000
BCIN_09g06850,BCIN_03g05030
BCIN_03g04100,BCIN_03g05120
BCIN_03g08650,BCIN_03g05300
BCIN_13g03450,BCIN_03g05380
BCIN_01g08010,BCIN_03g05410
BCIN_02g04200,BCIN_03g05490
BCIN_09g06960,BCIN_03g05600
BCIN_08g03540,BCIN_03g05610
BCIN_09g06680,BCIN_03g05650
BCIN_12g00290,BCIN_03g05660
BCIN_06g02620,BCIN_03g05700
BCIN_13g02740,BCIN_03g05800
BCIN_07g07070,BCIN_03g05900
BCIN_03g05530,BCIN_03g05910
BCIN_14g03670,BCIN_03g05920
BCIN_08g01810,BCIN_03g06030
BCIN_10g05900,BCIN_03g06320
BCIN_06g01000,BCIN_03g06460
BCIN_07g01000,BCIN_03g06500
BCIN_06g06250,BCIN_03g06590
BCIN_07g06370,BCIN_03g06740
BCIN_02g00210,BCIN_03g06850
BCIN_01g06250,BCIN_03g06930
BCIN_10g03880,BCIN_03g06950
BCIN_11g04070,BCIN_03g07050
BCIN_10g05310,BCIN_03g07210
BCIN_12g06750,BCIN_03g07350
BCIN_09g00870,BCIN_03g07500
BCIN_05g00200,BCIN_03g07540
BCIN_11g00730,BCIN_03g07550
BCIN_12g04290,BCIN_03g07570
BCIN_05g00690,BCIN_03g07750
BCIN_08g01470,BCIN_03g07970
BCIN_01g04370,BCIN_03g07990
BCIN_06g05710,BCIN_03g08000
BCIN_04g00140,BCIN_03g08010
BCIN_08g05440,BCIN_03g08110
BCIN_10g01080,BCIN_03g08150
BCIN_16g03570,BCIN_03g08160
BCIN_08g06420,BCIN_03g08240
BCIN_06g02190,BCIN_03g08250
BCIN_13g05080,BCIN_03g08280
BCIN_07g01820,BCIN_03g08470
BCIN_07g04400,BCIN_03g08490
BCIN_10g04960,BCIN_03g08610
BCIN_08g05590,BCIN_03g08630
BCIN_12g03930,BCIN_03g08970
BCIN_12g04860,BCIN_03g09000
BCIN_12g02370,BCIN_03g09030
BCIN_03g04780,BCIN_03g09080
BCIN_15g01130,BCIN_03g09140
BCIN_02g00130,BCIN_03g09180
BCIN_06g04420,BCIN_04g00010
BCIN_05g00370,BCIN_04g00030
BCIN_01g05330,BCIN_04g00080
BCIN_10g03590,BCIN_04g00400
BCIN_14g04420,BCIN_04g00420
BCIN_05g03950,BCIN_04g00460
BCIN_06g01840,BCIN_04g00470
BCIN_09g04280,BCIN_04g00600
BCIN_11g01080,BCIN_04g00710
BCIN_15g02820,BCIN_04g00780
BCIN_13g00440,BCIN_04g00910
BCIN_09g06670,BCIN_04g00930
BCIN_03g07080,BCIN_04g00940
BCIN_16g00570,BCIN_04g01040
BCIN_08g04020,BCIN_04g01230
BCIN_04g02730,BCIN_04g01260
BCIN_03g02350,BCIN_04g01380
BCIN_05g07480,BCIN_04g01410
BCIN_03g02590,BCIN_04g01540
BCIN_07g01700,BCIN_04g01560
BCIN_04g05150,BCIN_04g01660
BCIN_03g01010,BCIN_04g01700
BCIN_08g01460,BCIN_04g01740
BCIN_13g04090,BCIN_04g01760
BCIN_08g00570,BCIN_04g01830
BCIN_13g05400,BCIN_04g02040
BCIN_02g08100,BCIN_04g02050
BCIN_13g03260,BCIN_04g02060
BCIN_15g02480,BCIN_04g02480
BCIN_09g03120,BCIN_04g02500
BCIN_02g03180,BCIN_04g02660
BCIN_07g04660,BCIN_04g02750
BCIN_16g03920,BCIN_04g02950
BCIN_03g01530,BCIN_04g02980
BCIN_09g03600,BCIN_04g03260
BCIN_01g02800,BCIN_04g03310
BCIN_05g05070,BCIN_04g03380
BCIN_09g01690,BCIN_04g03390
BCIN_11g00410,BCIN_04g03690
BCIN_05g02470,BCIN_04g03740
BCIN_06g03410,BCIN_04g03750
BCIN_13g02520,BCIN_04g03880
BCIN_04g02970,BCIN_04g04100
BCIN_04g02200,BCIN_04g04200
BCIN_12g02870,BCIN_04g04220
BCIN_12g02440,BCIN_04g04300
BCIN_10g02100,BCIN_04g04330
BCIN_02g05490,BCIN_04g04810
BCIN_03g04670,BCIN_04g04820
BCIN_13g05150,BCIN_04g04830
BCIN_01g09100,BCIN_04g04910
BCIN_02g07000,BCIN_04g04930
BCIN_15g01900,BCIN_04g05000
BCIN_10g06010,BCIN_04g05010
BCIN_15g00990,BCIN_04g05140
BCIN_16g01090,BCIN_04g05200
BCIN_08g03780,BCIN_04g05230
BCIN_13g03340,BCIN_04g05450
BCIN_10g06050,BCIN_04g05580
BCIN_04g05420,BCIN_04g05860
BCIN_07g04650,BCIN_04g05890
BCIN_01g03780,BCIN_04g05920
BCIN_01g04910,BCIN_04g05950
BCIN_07g00110,BCIN_04g05960
BCIN_04g01090,BCIN_04g05970
BCIN_09g02210,BCIN_04g06070
BCIN_02g08460,BCIN_04g06080
BCIN_03g08680,BCIN_04g06140
BCIN_13g03060,BCIN_04g06180
BCIN_09g04550,BCIN_04g06250
BCIN_06g06360,BCIN_04g06260
BCIN_08g00100,BCIN_04g06330
BCIN_14g04250,BCIN_04g06450
BCIN_06g06760,BCIN_04g06470
BCIN_08g00160,BCIN_04g06760
BCIN_11g01290,BCIN_04g06820
BCIN_01g05660,BCIN_04g06860
BCIN_04g00980,BCIN_04g06870
BCIN_03g05330,BCIN_04g06880
BCIN_05g01420,BCIN_04g06990
BCIN_03g04990,BCIN_05g00020
BCIN_10g03950,BCIN_05g00100
BCIN_15g05660,BCIN_05g00120
BCIN_01g10010,BCIN_05g00240
BCIN_16g04270,BCIN_05g00380
BCIN_08g04860,BCIN_05g00440
BCIN_05g04280,BCIN_05g00670
BCIN_08g03990,BCIN_05g00710
BCIN_04g01390,BCIN_05g00810
BCIN_03g06540,BCIN_05g00910
BCIN_02g00190,BCIN_05g00920
BCIN_09g00770,BCIN_05g00950
BCIN_09g03930,BCIN_05g00970
BCIN_07g06520,BCIN_05g01030
BCIN_13g03330,BCIN_05g01040
BCIN_15g04210,BCIN_05g01060
BCIN_05g01360,BCIN_05g01150
BCIN_13g00560,BCIN_05g01160
BCIN_12g05000,BCIN_05g01280
BCIN_14g02530,BCIN_05g01310
BCIN_11g00660,BCIN_05g01390
BCIN_07g00120,BCIN_05g01430
BCIN_07g06680,BCIN_05g01440
BCIN_01g02890,BCIN_05g01450
BCIN_09g00620,BCIN_05g01460
BCIN_04g06600,BCIN_05g01500
BCIN_14g04140,BCIN_05g01510
BCIN_11g00520,BCIN_05g01520
BCIN_11g00750,BCIN_05g01530
BCIN_09g06180,BCIN_05g01550
BCIN_12g06520,BCIN_05g01580
BCIN_07g04280,BCIN_05g01720
BCIN_16g00160,BCIN_05g01730
BCIN_04g00790,BCIN_05g01800
BCIN_13g00620,BCIN_05g01810
BCIN_07g04500,BCIN_05g01820
BCIN_08g02860,BCIN_05g01860
BCIN_02g05900,BCIN_05g01890
BCIN_07g02070,BCIN_05g01930
BCIN_08g02140,BCIN_05g01970
BCIN_05g01790,BCIN_05g01980
BCIN_09g02360,BCIN_05g01990
BCIN_11g05340,BCIN_05g02000
BCIN_06g04010,BCIN_05g02010
BCIN_16g04250,BCIN_05g02020
BCIN_01g08440,BCIN_05g02030
BCIN_08g02940,BCIN_05g02040
BCIN_09g06700,BCIN_05g02050
BCIN_06g01260,BCIN_05g02080
BCIN_12g04380,BCIN_05g02140
BCIN_11g02440,BCIN_05g02240
BCIN_11g01900,BCIN_05g02340
BCIN_14g02740,BCIN_05g02410
BCIN_03g07520,BCIN_05g02430
BCIN_12g06330,BCIN_05g02930
BCIN_01g11550,BCIN_05g02950
BCIN_08g00810,BCIN_05g03020
BCIN_15g04630,BCIN_05g03050
BCIN_06g01390,BCIN_05g03060
BCIN_03g08530,BCIN_05g03070
BCIN_04g02790,BCIN_05g03170
BCIN_03g03850,BCIN_05g03180
BCIN_16g03560,BCIN_05g03190
BCIN_02g04340,BCIN_05g03250
BCIN_11g06260,BCIN_05g03430
BCIN_06g02010,BCIN_05g03620
BCIN_08g02590,BCIN_05g03660
BCIN_12g04140,BCIN_05g03760
BCIN_13g05140,BCIN_05g03800
BCIN_10g04550,BCIN_05g04010
BCIN_04g03900,BCIN_05g04050
BCIN_09g00170,BCIN_05g04120
BCIN_01g07460,BCIN_05g04350
BCIN_11g04580,BCIN_05g04360
BCIN_10g03090,BCIN_05g04400
BCIN_02g02760,BCIN_05g04690
BCIN_15g01200,BCIN_05g04710
BCIN_04g04770,BCIN_05g04720
BCIN_08g06980,BCIN_05g04740
BCIN_08g02110,BCIN_05g04770
BCIN_11g04380,BCIN_05g04800
BCIN_01g10240,BCIN_05g04840
BCIN_10g04150,BCIN_05g04860
BCIN_12g02530,BCIN_05g04890
BCIN_02g01760,BCIN_05g04900
BCIN_05g08340,BCIN_05g05020
BCIN_14g01430,BCIN_05g05030
BCIN_05g07220,BCIN_05g05040
BCIN_12g06240,BCIN_05g05110
BCIN_03g03070,BCIN_05g05160
BCIN_10g05630,BCIN_05g05170
BCIN_07g00420,BCIN_05g05210
BCIN_05g03920,BCIN_05g05220
BCIN_07g05250,BCIN_05g05290
BCIN_05g05580,BCIN_05g05300
BCIN_07g06800,BCIN_05g05360
BCIN_04g03100,BCIN_05g05420
BCIN_04g04880,BCIN_05g05480
