Gene_ID	Gene_Name	logFC	logCPM	LR	PValue	FDR
BCIN_15g05670	Uncharacterized	-4.04495244823663	7.17775985045669	376.853342268201	6.02622694016467e-84	5.18677352739973e-80
BCIN_04g00180	Uncharacterized	-4.02898219483685	5.9460132259259	345.824808622874	3.43844493004936e-77	1.47973477564674e-73
BCIN_02g09240	Uncharacterized	4.02591247896962	5.86134767801822	300.527209638203	2.52877668164502e-67	7.25506029963956e-64
BCIN_03g05230	Uncharacterized	-4.72542713689563	7.36987732944873	295.079575304408	3.88861839502515e-66	8.36733463149537e-63
BCIN_09g04900	Uncharacterized	-3.4941625426405	4.52036679781811	286.271305963117	3.22866399842097e-64	5.55782220688186e-61
BCIN_12g00430	Bcjlp1	-4.77238754736154	7.22188966211983	262.61560100809	4.61730261186765e-59	6.62352059672415e-56
BCIN_09g05950	Uncharacterized	2.95331523673324	6.72755901028066	259.43320090206	2.28068505899588e-58	2.80426518611108e-55
BCIN_16g05198	Uncharacterized	3.0974951764864	3.69940723451276	250.241369171004	2.30048350600852e-56	2.47503269202692e-53
BCIN_12g00350	Uncharacterized	2.9600861946542	5.01232361824855	219.174378786003	1.36922284226763e-49	1.30943344482194e-46
BCIN_03g03200	Uncharacterized	3.00738222906133	3.4804268804454	214.551976722263	1.39573472732335e-48	1.20130887980721e-45
BCIN_06g07150	Uncharacterized	-4.41130641010637	3.43836427750074	213.620651381031	2.22829984239834e-48	1.59824806196021e-45
BCIN_16g04050	Uncharacterized	2.62582410589055	8.71731724815931	213.624457882232	2.22404322900047e-48	1.59824806196021e-45
BCIN_01g04120	Uncharacterized	-4.35024261925436	4.61256485494185	212.13924573855	4.68979663084672e-48	3.10500612320752e-45
BCIN_08g00280	Uncharacterized	4.68130380343467	4.80759945796	210.390832330259	1.12874967543075e-47	6.93939175459461e-45
BCIN_06g01590	Uncharacterized	-2.72190767421754	4.32787668340356	201.554763238379	9.56211941244659e-46	5.48674411886185e-43
BCIN_01g01480	Uncharacterized	2.52384172381953	4.74004897918796	199.671769494833	2.4629717318313e-45	1.324924855992e-42
BCIN_06g03440	Bcaox	-3.33104878201703	4.39619038214933	195.07942355611	2.47558206319922e-44	1.25337263635034e-41
