Gene_ID,Gene_Name,logFC,logCPM,LR,PValue,FDR,Regulation
BCIN_02g09240,Uncharacterized,4.02591247896962,5.86134767801822,300.527209638203,2.5287766816450202e-67,7.25506029963956e-64,UP
BCIN_09g05950,Uncharacterized,2.95331523673324,6.72755901028066,259.43320090206,2.28068505899588e-58,2.8042651861110797e-55,UP
BCIN_16g05198,Uncharacterized,3.0974951764864,3.69940723451276,250.241369171004,2.30048350600852e-56,2.47503269202692e-53,UP
BCIN_12g00350,Uncharacterized,2.9600861946542,5.01232361824855,219.174378786003,1.36922284226763e-49,1.3094334448219401e-46,UP
BCIN_03g03200,Uncharacterized,3.00738222906133,3.4804268804454,214.551976722263,1.3957347273233498e-48,1.20130887980721e-45,UP
BCIN_16g04050,Uncharacterized,2.62582410589055,8.71731724815931,213.624457882232,2.22404322900047e-48,1.59824806196021e-45,UP
BCIN_08g00280,Uncharacterized,4.68130380343467,4.80759945796,210.390832330259,1.12874967543075e-47,6.93939175459461e-45,UP
BCIN_01g01480,Uncharacterized,2.52384172381953,4.74004897918796,199.671769494833,2.4629717318313e-45,1.324924855992e-42,UP
BCIN_13g01670,Uncharacterized,2.1209096216564,5.33616902083079,190.969001342698,1.9535374522036e-43,8.84952465848233e-41,UP
BCIN_02g00620,Uncharacterized,3.47210762882647,4.07782074490117,177.117243816966,2.0647643121098197e-40,8.12754174977799e-38,UP
BCIN_15g01040,Uncharacterized,2.58792620261219,6.33904056501427,166.009183635114,5.50630155762123e-38,1.6987194657770301e-35,UP
BCIN_09g05400,Bcdao8,3.18495739762632,6.38697536725735,161.949035472798,4.24446704218917e-37,1.1995333207565499e-34,UP
BCIN_10g00500,Uncharacterized,2.96394183306299,3.97350155047126,161.913795093155,4.32038258899187e-37,1.1995333207565499e-34,UP
BCIN_09g05960,Uncharacterized,2.91726109599128,6.31986125803887,161.523443464394,5.25779730934724e-37,1.41418317004849e-34,UP
BCIN_12g02040,Bcap8,3.33850219523032,7.30917023279636,159.758201999715,1.2778460331972898e-36,3.33285479022094e-34,UP
BCIN_04g05580,Uncharacterized,3.3128512135608,4.69523243610387,157.901829505555,3.25155944319167e-36,8.23122709633845e-34,UP
BCIN_16g04630,Uncharacterized,3.04447722118517,5.49112140736059,157.521095396055,3.9380827018125e-36,9.68430794700004e-34,UP
BCIN_10g04090,Uncharacterized,2.27330423857301,8.50957088805527,152.811584494503,4.21163764161787e-35,1.00693236615014e-32,UP
BCIN_15g01990,Uncharacterized,2.20708842335721,5.90199833372393,145.866942245912,1.3881283249055e-33,2.71536829374128e-31,UP
BCIN_12g00550,Uncharacterized,2.63645912513744,5.80950262553466,145.733204682667,1.4847963727925799e-33,2.8399205290279404e-31,UP
BCIN_09g05390,Uncharacterized,2.5473910394202,5.62846777726015,145.366069250274,1.78619881922769e-33,3.3421333124114704e-31,UP
BCIN_14g03750,Uncharacterized,2.97032148675479,3.57848140116275,142.451865532564,7.74603492000763e-33,1.38896088659387e-30,UP
BCIN_05g07330,Uncharacterized,1.46807311399593,7.2771337550627,141.209205691369,1.44809229397085e-32,2.5436184437157397e-30,UP
BCIN_16g00280,Uncharacterized,2.51441451681417,7.13351307893266,140.933410047253,1.66380802529642e-32,2.8640791347452598e-30,UP
BCIN_11g06210,Uncharacterized,2.22395670502255,2.58016836684423,137.910060149012,7.62533725480263e-32,1.26213995677089e-29,UP
BCIN_11g03580,Uncharacterized,2.02483997425827,4.89521423055212,134.825882235417,3.6043054644002504e-31,5.640410387653259e-29,UP
BCIN_04g02660,Uncharacterized,2.44662753616641,5.00959402262391,134.217065465611,4.89771084966282e-31,7.52760665768713e-29,UP
BCIN_12g01880,Uncharacterized,1.94470642319308,6.34045697563675,133.797653790695,6.04974495744869e-31,9.13511488574752e-29,UP
BCIN_06g02700,Uncharacterized,2.04683913155049,5.01042852675933,133.219376632976,8.09534415460423e-31,1.1809597820115e-28,UP
BCIN_05g07660,Uncharacterized,2.71736925996318,4.29349064418892,129.070860618274,6.54399145290606e-30,9.08453781212298e-28,UP
BCIN_04g05000,BcppoA90,3.16869890408669,9.33161672108013,126.770859167759,2.08510192546343e-29,2.84864639245456e-27,UP
BCIN_02g03390,Bctrm5,1.67048771023822,5.64136132051869,126.480340777846,2.41381056794009e-29,3.24619805597818e-27,UP
BCIN_16g01800,Uncharacterized,2.09113042171448,2.38839563964049,121.676673308925,2.7169633149319397e-28,3.49028406740585e-26,UP
BCIN_15g03150,Uncharacterized,3.15070120237994,7.36446937188052,120.116062920497,5.966567653895559e-28,7.232992647475929e-26,UP
BCIN_09g00220,Uncharacterized,2.58288131716162,9.02170382030248,120.068571938756,6.11113113128723e-28,7.30534800652628e-26,UP
BCIN_16g04620,Uncharacterized,4.28037352271235,10.8718372390667,119.438323289199,8.39658805339279e-28,9.89992238021257e-26,UP
BCIN_01g06910,Uncharacterized,1.98547126216306,6.46883732044553,117.800380783095,1.91746521589962e-27,2.2004830817664e-25,UP
BCIN_02g05600,Uncharacterized,1.97727796341058,5.03602008114704,117.689450483116,2.02776184283711e-27,2.29644028701303e-25,UP
BCIN_15g00210,Uncharacterized,2.39499450071512,3.64158435179522,117.055175168237,2.79191598698109e-27,3.1207819350579503e-25,UP
BCIN_08g01020,Uncharacterized,1.7783523080844,4.51900514842538,115.987843447362,4.78218964011096e-27,5.145038279054381e-25,UP
BCIN_12g04870,Uncharacterized,1.92750043441023,3.77041928641098,113.126069672773,2.02482329447126e-26,2.1253236701846502e-24,UP
BCIN_04g06080,Uncharacterized,3.45846626202223,1.87963495194385,112.771043775318,2.42187089745117e-26,2.48155271599551e-24,UP
BCIN_07g04000,Uncharacterized,2.34703527312385,5.55107834358177,110.019886306119,9.70126133162588e-26,9.59755819325333e-24,UP
BCIN_09g05250,Uncharacterized,2.40089649839574,6.87650459240172,109.920123759869,1.0201990789468401e-25,9.97824258238116e-24,UP
BCIN_05g02410,Uncharacterized,2.04285212140888,2.95307968127697,107.976795268395,2.71943501838451e-25,2.5859013906886602e-23,UP
BCIN_05g05900,Bcap5,2.12944465601577,3.9793403028267,107.179580745346,4.0660451353548403e-25,3.64546359166658e-23,UP
BCIN_05g07640,Uncharacterized,2.92187470841064,10.0870078152473,107.190666633878,4.04336425002912e-25,3.64546359166658e-23,UP
BCIN_11g03710,Uncharacterized,1.8134876393441,6.66402366339589,107.218128173162,3.98772349626328e-25,3.64546359166658e-23,UP
BCIN_09g04230,Uncharacterized,2.00713140206118,2.93413347318446,104.691446524896,1.42715799657067e-24,1.22835488764837e-22,UP
BCIN_07g04350,Uncharacterized,2.77731961507293,4.760422712413,104.442005931239,1.61862381336841e-24,1.37935595660019e-22,UP
BCIN_01g08910,Uncharacterized,2.78819722030646,5.96510517495682,102.456372178414,4.40972984228862e-24,3.58061742948851e-22,UP
BCIN_14g04610,Uncharacterized,2.14761771294704,3.69179958740444,101.512556958636,7.10118539747712e-24,5.7121404407556595e-22,UP
BCIN_02g07270,Uncharacterized,1.30451129408839,4.87855780952878,99.9900230397185,1.5316668472848302e-23,1.19845968678005e-21,UP
