index,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance
BCIN_01g00190,721.9601786891229,-0.5010097097038374,0.1898877479473257,-2.6384520071448523,0.0083285488221045,0.0267649043096237,DOWN
BCIN_01g00260,88.51175262436864,-0.8347156035304543,0.3064611998592663,-2.7237236032286436,0.0064550503012278,0.0216054932427784,DOWN
BCIN_01g00290,148.2668972592859,-0.5347508259841691,0.2232320951029911,-2.395492573491525,0.0165980504767593,0.0477417401260012,DOWN
BCIN_01g00370,7896.567694813982,-0.4633355235580976,0.1480581271185704,-3.12941634866853,0.0017515393570001,0.0071002900613902,DOWN
BCIN_01g00410,1118.6640223909003,-0.4274376464918319,0.1624510809590543,-2.631177607242683,0.0085089555346255,0.0272451699350047,DOWN
BCIN_01g00420,3089.3071363630584,-0.6449303902930553,0.2621953527154564,-2.459732346945738,0.0139040665222004,0.041162585498861,DOWN
BCIN_01g00500,693.707623600348,-0.7970906757388947,0.2375193337684991,-3.355898078241445,0.0007910771679736,0.0035930214596994,DOWN
BCIN_01g00510,1471.0159777127672,-0.4293003275361143,0.1381319551059133,-3.1079001756468756,0.0018842169993283,0.0075655252900786,DOWN
BCIN_01g00820,210.0015552896508,-0.4537644187449458,0.1856689382840988,-2.443943628581665,0.0145276962934614,0.0426382637184414,DOWN
BCIN_01g00830,3019.196769015372,-0.3740631205846381,0.1495722508546589,-2.500885815699327,0.012388311327524,0.0374168526882604,DOWN
BCIN_01g00860,283.1657981085562,-0.9765652328403044,0.2163339433933953,-4.5141562970747335,6.356932412108998e-06,4.867962746328573e-05,DOWN
BCIN_01g00890,527.8069052599678,-0.5560238663907434,0.2306137938917011,-2.41106074796141,0.0159061988418771,0.0460345840769554,DOWN
BCIN_01g00930,6485.403570505786,-0.439177117163662,0.1645251230791925,-2.669362033859525,0.0075995487258036,0.0247078924090169,DOWN
BCIN_01g00970,1555.2481166127584,-0.3544704786991733,0.145308726735344,-2.439430078723235,0.0147104491528002,0.0430549731301469,DOWN
BCIN_01g01150,1477.0250852778415,-0.3866418337487865,0.1448101016027157,-2.6699921446746337,0.0075853021502023,0.0246767685477933,DOWN
BCIN_01g01200,329.8940834538062,-0.8186867709183661,0.1845728636779273,-4.435574951835517,9.182687450938276e-06,6.800082712616284e-05,DOWN
BCIN_01g01210,3193.7540230696254,-0.5088363277748923,0.1762980887751171,-2.8862271355871316,0.0038989066632256,0.0140424469180296,DOWN
BCIN_01g01240,87.2559321657432,-1.8103170181756056,0.3342955763442078,-5.415318497399469,6.11797047042608e-08,6.765001902376901e-07,DOWN
BCIN_01g01250,14.970696232986247,-1.818614921181804,0.5642566776212855,-3.2230277342015112,0.0012684327169997,0.0054032470720117,DOWN
BCIN_01g01300,2411.4515296909153,-1.3473126047022068,0.2277857835957866,-5.914823056267012,3.3223254584741612e-09,4.4749689848835636e-08,DOWN
BCIN_01g01380,226.1842921041688,-0.6829960586578506,0.2278466548350287,-2.997612842516256,0.0027210310293917,0.0103883180297818,DOWN
BCIN_01g01410,382.9544755706288,-0.799978491715322,0.2228101339207795,-3.59040442926961,0.0003301652747599,0.0016690920588825,DOWN
