Artigo,Funexpression
PDE_00008,PDE_00008
PDE_00009,PDE_00009
PDE_00122,PDE_00010
PDE_00175,PDE_00013
PDE_00248,PDE_00121
PDE_00400,PDE_00122
PDE_00413,PDE_00175
PDE_00507,PDE_00248
PDE_00538,PDE_00400
PDE_00552,PDE_00413
PDE_00579,PDE_00507
PDE_00599,PDE_00538
PDE_00607,PDE_00552
PDE_00792,PDE_00571
PDE_00836,PDE_00579
PDE_00963,PDE_00599
PDE_01069,PDE_00607
PDE_01180,PDE_00807
PDE_01201,PDE_00836
PDE_01261,PDE_00963
PDE_01302,PDE_00982
PDE_01353,PDE_01180
PDE_01354,PDE_01201
PDE_01556,PDE_01261
PDE_01752,PDE_01302
PDE_01786,PDE_01353
PDE_01913,PDE_01354
PDE_01916,PDE_01385
PDE_02091,PDE_01430
PDE_02095,PDE_01878
PDE_02101,PDE_01916
PDE_02102,PDE_02102
PDE_02145,PDE_02145
PDE_02469,PDE_02469
PDE_03010,PDE_02566
PDE_03013,PDE_02653
PDE_03053,PDE_02867
PDE_03437,PDE_03010
PDE_03475,PDE_03140
PDE_03500,PDE_03167
PDE_03816,PDE_03399
PDE_03927,PDE_03415
PDE_03928,PDE_03500
PDE_03930,PDE_03816
PDE_03966,PDE_03926
PDE_04046,PDE_03927
PDE_04047,PDE_03928
PDE_04184,PDE_03929
PDE_04251,PDE_03930
PDE_04364,PDE_03966
PDE_04495,PDE_03978
PDE_04496,PDE_04046
PDE_04540,PDE_04047
PDE_04541,PDE_04073
PDE_04625,PDE_04184
PDE_04857,PDE_04251
PDE_04894,PDE_04364
PDE_04921,PDE_04496
PDE_05097,PDE_04625
PDE_05194,PDE_04857
PDE_05212,PDE_04894
PDE_05404,PDE_04921
PDE_05527,PDE_05152
PDE_05534,PDE_05212
PDE_05633,PDE_05404
PDE_05998,PDE_05422
PDE_06023,PDE_05440
PDE_06059,PDE_05445
PDE_06329,PDE_05527
PDE_06451,PDE_05633
PDE_06571,PDE_05679
PDE_06576,PDE_05883
PDE_06586,PDE_05998
PDE_06649,PDE_05999
PDE_06802,PDE_06023
PDE_06862,PDE_06059
PDE_06944,PDE_06096
PDE_07008,PDE_06187
PDE_07124,PDE_06329
PDE_07138,PDE_06350
PDE_07189,PDE_06397
PDE_07700,PDE_06438
PDE_07868,PDE_06451
PDE_07928,PDE_06571
PDE_07929,PDE_06576
PDE_07945,PDE_06577
PDE_08014,PDE_06602
PDE_08015,PDE_06752
PDE_08079,PDE_06801
PDE_08080,PDE_06802
PDE_08391,PDE_06862
PDE_08415,PDE_06944
PDE_08912,PDE_07124
PDE_08982,PDE_07138
PDE_09141,PDE_07142
PDE_09226,PDE_07388
PDE_09377,PDE_07477
PDE_09417,PDE_07531
PDE_09532,PDE_07868
PDE_09678,PDE_07928
PDE_09710,PDE_07929
PDE_09969,PDE_07945
PDE_10009,PDE_08014
,PDE_08015
,PDE_08079
,PDE_08080
,PDE_08088
,PDE_08391
,PDE_08849
,PDE_08912
,PDE_08982
,PDE_09141
,PDE_09182
,PDE_09225
,PDE_09226
,PDE_09249
,PDE_09377
,PDE_09417
,PDE_09439
,PDE_09532
,PDE_09598
,PDE_09639
,PDE_09678
,PDE_09688
,PDE_09710
,PDE_09717
,PDE_09805
,PDE_09932
,PDE_09969
,PDE_10008
,PDE_10009
