Gene_ID	Gene_Name	logFC	logCPM	LR	PValue	FDR
BCIN_11g00090	Uncharacterized	-3.03028279820518	5.18536522746753	505.952604288897	4.81746868949698e-112	4.14639530105005e-108
BCIN_16g04050	Uncharacterized	3.92402601592911	8.71731724815931	424.917476959118	2.07545770502325e-94	8.93173223356755e-91
BCIN_15g01990	Uncharacterized	3.86817732669551	5.90199833372393	366.823528994141	9.20064472912913e-82	2.63966497278715e-78
BCIN_01g00920	Uncharacterized	-2.92544194100903	6.00198379740191	297.963217410387	9.15214001717963e-67	1.96931172819663e-63
BCIN_16g00280	Uncharacterized	3.62896455614169	7.13351307893266	263.870893025228	2.45910673898709e-59	4.23310634049238e-56
BCIN_16g05120	Bcmss1	-2.19126299432619	7.10769766395994	251.766983267946	1.06961309341344e-56	1.53435998250157e-53
BCIN_02g05600	Uncharacterized	2.92835080954364	5.03602008114704	231.138556681985	3.36546414488041e-52	4.13807855642652e-49
BCIN_01g06910	Uncharacterized	2.78582450484195	6.46883732044553	214.443345858194	1.47401107694519e-48	1.5858516674084e-45
BCIN_14g01400	Uncharacterized	-3.65042319595437	6.8755568073915	210.055124396257	1.33610082552021e-47	1.27775775613916e-44
BCIN_07g06440	Uncharacterized	2.95333042927874	3.80664897977635	207.774161648242	4.20235462204062e-47	3.61696662319036e-44
BCIN_06g02290	Uncharacterized	3.48820974886384	6.30944327245973	202.41660038127	6.201418350239e-46	4.85232797640974e-43
BCIN_05g04010	Uncharacterized	2.46670411354598	5.19272416736137	199.385722221214	2.84368877757423e-45	2.03963577571512e-42
BCIN_05g04400	Uncharacterized	3.24131156576005	7.84476894792778	197.59181777453	7.00433194998517e-45	4.63740654565557e-42
BCIN_01g06040	Uncharacterized	2.85834438208079	4.8740910692057	195.603817241784	1.90208348724708e-44	1.16937375533826e-41
BCIN_16g03370	Uncharacterized	2.47190678681142	4.27075439759206	189.622478179172	3.84358350232124e-43	2.20544821363193e-40
BCIN_02g09240	Uncharacterized	3.0366066998019	5.86134767801822	188.760801458504	5.92687621258277e-43	3.18828897260624e-40
BCIN_10g01350	Uncharacterized	-2.36761272707762	5.28892206823684	188.026404633787	8.57305933782967e-43	4.34048951298235e-40
BCIN_10g05670	Uncharacterized	-1.97050158035148	5.19935730691744	187.138029211457	1.3398673772983e-42	6.40679917578137e-40
BCIN_05g04770	Uncharacterized	-2.35809411958609	7.89597755192828	181.349353617329	2.45927799350178e-41	1.11405293105631e-38
BCIN_01g00180	Uncharacterized	-2.35570793774685	5.11112761357322	179.727303092403	5.55854798423495e-41	2.39212112501551e-38
BCIN_01g01480	Uncharacterized	2.45268272115852	4.74004897918796	179.372900915289	6.64267156871901e-41	2.72254639009355e-38
BCIN_16g05198	Uncharacterized	2.58304707208427	3.69940723451276	175.408105909315	4.87626633571841e-40	1.90772837961492e-37
BCIN_07g00730	Uncharacterized	-2.19914173671182	7.42216604353727	172.186489525973	2.46395502017658e-39	9.2205481994173e-37
BCIN_11g00620	Uncharacterized	-2.2723250406137	5.71833051603379	170.029143601354	7.29123737669859e-39	2.61482000421853e-36
BCIN_03g07670	Bcgdh2	-3.10497334405638	8.33079376285102	169.688730118724	8.65269290872497e-39	2.97894911461583e-36
BCIN_01g08900	Uncharacterized	3.60271832498507	6.24647192038964	163.892438233368	1.59683192822395e-37	5.28612784854753e-35
BCIN_01g05620	Uncharacterized	2.06934818440433	6.04319421013396	163.794594539302	1.67738916990391e-37	5.34714392050478e-35
BCIN_16g01630	Uncharacterized	2.81565791331446	5.40683345645485	160.196512193461	1.02497423676944e-36	3.15069759138378e-34
BCIN_13g00080	Uncharacterized	1.85796058861409	4.98260412695659	158.542174577108	2.3559956335871e-36	6.99243255802902e-34
BCIN_10g00060	Bcmcr1	1.59196728866481	5.57443464339092	155.334813818528	1.18311561494933e-35	3.39435869928963e-33
BCIN_07g05710	Uncharacterized	-1.8435350906034	3.50048293706859	152.941838332809	3.94442831996711e-35	1.09515143709538e-32
BCIN_03g02890	Uncharacterized	-4.05652370483855	5.24959845228555	151.294410640859	9.03733137365197e-35	2.43075972290695e-32
BCIN_11g03580	Uncharacterized	2.02290119114306	4.89521423055212	151.075692157882	1.00889145339997e-34	2.63137234527682e-32
BCIN_01g04060	Uncharacterized	2.86970526738619	5.8073313638617	148.999135151917	2.86899439442243e-34	7.2627749272923e-32
BCIN_08g04700	Uncharacterized	2.39470875627071	2.7615920795183	146.702058278426	9.11723621136335e-34	2.24205863060584e-31
BCIN_12g00130	Uncharacterized	2.01464413108841	3.88433351088311	145.526327280695	1.64776066095992e-33	3.93952111357833e-31
BCIN_12g00350	Uncharacterized	2.35518018409425	5.01232361824855	143.352640515511	4.92185017785636e-33	1.14492876975161e-30
BCIN_06g06420	Uncharacterized	-2.26817660648789	5.86934651100271	139.138095933413	4.10862269944536e-32	9.30603041424375e-30
BCIN_03g02050	Uncharacterized	1.76554098186085	5.303481952225	138.297287993105	6.27441521058902e-32	1.38471517224461e-29
BCIN_06g04560	Uncharacterized	2.16834045229516	5.12638628801248	137.8261555346	7.95442907353877e-32	1.71159427589871e-29
BCIN_09g06840	Uncharacterized	-1.62014755159087	6.73520279155189	137.576550194351	9.01982722186489e-32	1.89350372923393e-29
BCIN_01g08200	Uncharacterized	3.52121985513859	6.29051705662811	136.78935316374	1.34080124218201e-31	2.6837851840606e-29
BCIN_16g02960	Uncharacterized	5.46720486636333	3.03158882373822	136.810555089197	1.32656118097577e-31	2.6837851840606e-29
BCIN_16g02760	Uncharacterized	3.47841735656149	4.52186301917174	136.743305161479	1.37225771077806e-31	2.68432320833336e-29
BCIN_01g01740	Uncharacterized	-1.61428323652608	6.0829255184647	135.293903938823	2.847411542947e-31	5.44614914447662e-29
BCIN_10g06070	Uncharacterized	-2.37289898895943	6.02120900727488	135.184118951294	3.00928631278207e-31	5.63063636828593e-29
BCIN_14g01240	Uncharacterized	-1.82915881387546	6.59250534320861	135.123741247151	3.10220135635278e-31	5.68098873917625e-29
BCIN_05g04840	Bcdur3	4.31007011986031	4.33035820884972	133.933767651197	5.64888462751714e-31	1.01291562477167e-28
BCIN_11g06400	Uncharacterized	3.32407977033678	5.45504306307754	132.104420762036	1.41952615681454e-30	2.49344114932709e-28
BCIN_09g03120	Uncharacterized	-2.73100935573296	4.92098885512029	130.970741320176	2.51282858274739e-30	4.32558312234136e-28
BCIN_10g00970	Uncharacterized	-1.56343496737131	4.62194880531472	129.649590493548	4.88895597102631e-30	8.25083216522029e-28
BCIN_08g02810	Uncharacterized	1.6786537815018	5.21653832140508	128.628791231743	8.17656211761269e-30	1.35337827204409e-27
BCIN_10g05780	Uncharacterized	-1.41734974230009	5.00783897593538	128.441836742444	8.98418112580023e-30	1.45899711225967e-27
BCIN_11g04190	Uncharacterized	-1.67921794931408	5.97157581053354	128.201379741065	1.01413055844991e-29	1.616411428996e-27
BCIN_04g01840	Uncharacterized	-1.5821232376446	8.15654535144171	126.932358291567	1.92214408202039e-29	3.00798074799081e-27
BCIN_09g01020	Uncharacterized	3.45940954749146	4.24059049373791	126.086334509661	2.94393172668541e-29	4.52471792349667e-27
BCIN_03g05600	Uncharacterized	2.25199325673515	4.61872728947027	124.736639766348	5.81180919255051e-29	8.77583188075126e-27
BCIN_11g04630	Uncharacterized	2.11041899261027	7.67551619958277	122.422047022845	1.86604737618859e-28	2.76914995980261e-26
BCIN_04g00180	Uncharacterized	-2.23004399788555	5.9460132259259	122.366756419852	1.91878105042571e-28	2.79914381373121e-26
BCIN_02g01630	Uncharacterized	1.85703399838824	6.21452545665784	122.035300683867	2.26766991498917e-28	3.25297249305196e-26
BCIN_08g06330	Uncharacterized	2.31114685693937	2.42825706198795	121.403763272107	3.11763532055692e-28	4.39893232853007e-26
BCIN_02g00800	Bcpic4	2.2209737147784	8.34886560776425	118.551949748076	1.3127070100059e-27	1.82233374760013e-25
BCIN_02g04470	Uncharacterized	3.75545605680419	5.18641457629166	118.382848573371	1.42952775146656e-27	1.9530071995036e-25
BCIN_06g00430	Uncharacterized	-1.93589776843784	7.45073019570515	118.127335581684	1.62606574716433e-27	2.15316121320667e-25
BCIN_16g02970	Uncharacterized	3.10338233630577	2.41397291872285	118.145464341632	1.61127144438714e-27	2.15316121320667e-25
BCIN_03g04460	Uncharacterized	1.54803774393988	7.50025116387763	117.632879507109	2.08643028363795e-27	2.72089476534422e-25
BCIN_12g04950	Uncharacterized	-2.00085620313238	5.74613417116809	117.346338627136	2.41071781691458e-27	3.09687287316175e-25
BCIN_09g05090	Uncharacterized	1.90238471354956	7.22515733359423	116.407626167468	3.8699077355447e-27	4.89827880585783e-25
BCIN_08g05090	Uncharacterized	-2.05323149364597	6.5351426010175	116.065580686176	4.5983633608218e-27	5.73595847052076e-25
BCIN_14g01650	Uncharacterized	2.56970476236981	4.50271709032772	113.733170677127	1.49078234234528e-26	1.83302337436655e-24
BCIN_10g05960	Uncharacterized	-3.14118347800369	4.2059092508696	112.899210950189	2.27026930203392e-26	2.75214195529662e-24
BCIN_16g00680	Uncharacterized	2.3342725803086	3.03035767613892	112.094444213543	3.40688283663632e-26	4.07264452429566e-24
BCIN_08g03450	Uncharacterized	-1.71751228318075	5.28963345899761	111.154003764243	5.47481356493392e-26	6.45503018539537e-24
BCIN_15g05080	Bcgas5	-1.536469391523	8.39153825118095	109.817158217076	1.07459191340882e-25	1.24986656739321e-23
BCIN_16g04600	Uncharacterized	1.41226533483814	5.26982954108711	107.306858805967	3.81312460902742e-25	4.37594180131987e-23
BCIN_03g00400	Uncharacterized	-1.72098673741443	4.51807642485585	106.156260579259	6.81442507224659e-25	7.71733639431926e-23
BCIN_09g00590	Uncharacterized	1.62459789294189	6.41458056737128	105.828645844723	8.03949810217534e-25	8.98648833317184e-23
BCIN_09g01030	Uncharacterized	2.06852327983609	4.92453325126737	104.969196552531	1.24049367355215e-24	1.36883705746966e-22
BCIN_06g01530	Uncharacterized	3.08721294987491	5.14810538366171	104.166461955555	1.86012735056935e-24	2.0265969754874e-22
BCIN_14g01270	Uncharacterized	-3.36704095994595	5.76331305251772	102.583290049625	4.13607398625866e-24	4.44989859996604e-22
BCIN_10g00500	Uncharacterized	2.333825469357	3.97350155047126	101.95367568789	5.68354414170093e-24	6.03929190464443e-22
BCIN_07g06780	Bclcc9	2.54501032619569	5.54229676168086	101.631016679996	6.68896857705578e-24	7.02096982228281e-22
BCIN_06g05340	Uncharacterized	-2.12272081875421	3.98568508498106	101.334766538528	7.76803256790402e-24	8.05535618216264e-22
BCIN_09g07110	Uncharacterized	-3.24236039993047	6.26821377091021	101.276621713879	7.9994349531523e-24	8.19656388592641e-22
BCIN_10g02550	Uncharacterized	1.59085262177425	9.30475642709554	100.986964135201	9.25908066684777e-24	9.37563615288927e-22
BCIN_05g01800	Uncharacterized	3.01984995092713	4.88597485123035	99.9544801018666	1.5594020204703e-23	1.56067130118464e-21
