Gene_ID,Gene_Name,logFC,logCPM,LR,PValue,FDR,Regulation
BCIN_11g00090,Uncharacterized,-3.03028279820518,5.18536522746753,505.952604288897,4.81746868949698e-112,4.14639530105005e-108,DOWN
BCIN_01g00920,Uncharacterized,-2.92544194100903,6.00198379740191,297.963217410387,9.15214001717963e-67,1.96931172819663e-63,DOWN
BCIN_16g05120,Bcmss1,-2.19126299432619,7.10769766395994,251.766983267946,1.0696130934134398e-56,1.53435998250157e-53,DOWN
BCIN_14g01400,Uncharacterized,-3.65042319595437,6.8755568073915,210.055124396257,1.33610082552021e-47,1.27775775613916e-44,DOWN
BCIN_10g01350,Uncharacterized,-2.36761272707762,5.28892206823684,188.026404633787,8.57305933782967e-43,4.34048951298235e-40,DOWN
BCIN_10g05670,Uncharacterized,-1.97050158035148,5.19935730691744,187.138029211457,1.3398673772983e-42,6.40679917578137e-40,DOWN
BCIN_05g04770,Uncharacterized,-2.35809411958609,7.89597755192828,181.349353617329,2.45927799350178e-41,1.11405293105631e-38,DOWN
BCIN_01g00180,Uncharacterized,-2.35570793774685,5.11112761357322,179.727303092403,5.55854798423495e-41,2.39212112501551e-38,DOWN
BCIN_07g00730,Uncharacterized,-2.19914173671182,7.42216604353727,172.186489525973,2.46395502017658e-39,9.2205481994173e-37,DOWN
BCIN_11g00620,Uncharacterized,-2.2723250406137,5.71833051603379,170.029143601354,7.29123737669859e-39,2.61482000421853e-36,DOWN
BCIN_03g07670,Bcgdh2,-3.10497334405638,8.33079376285102,169.688730118724,8.65269290872497e-39,2.97894911461583e-36,DOWN
BCIN_07g05710,Uncharacterized,-1.8435350906034,3.50048293706859,152.941838332809,3.94442831996711e-35,1.09515143709538e-32,DOWN
BCIN_03g02890,Uncharacterized,-4.05652370483855,5.24959845228555,151.294410640859,9.03733137365197e-35,2.43075972290695e-32,DOWN
BCIN_06g06420,Uncharacterized,-2.26817660648789,5.86934651100271,139.138095933413,4.10862269944536e-32,9.30603041424375e-30,DOWN
BCIN_09g06840,Uncharacterized,-1.62014755159087,6.73520279155189,137.576550194351,9.01982722186489e-32,1.89350372923393e-29,DOWN
BCIN_01g01740,Uncharacterized,-1.61428323652608,6.0829255184647,135.293903938823,2.847411542947e-31,5.44614914447662e-29,DOWN
BCIN_10g06070,Uncharacterized,-2.37289898895943,6.02120900727488,135.184118951294,3.00928631278207e-31,5.63063636828593e-29,DOWN
BCIN_14g01240,Uncharacterized,-1.82915881387546,6.59250534320861,135.123741247151,3.1022013563527804e-31,5.68098873917625e-29,DOWN
BCIN_09g03120,Uncharacterized,-2.73100935573296,4.92098885512029,130.970741320176,2.5128285827473896e-30,4.32558312234136e-28,DOWN
BCIN_10g00970,Uncharacterized,-1.56343496737131,4.62194880531472,129.649590493548,4.8889559710263096e-30,8.25083216522029e-28,DOWN
BCIN_10g05780,Uncharacterized,-1.41734974230009,5.00783897593538,128.441836742444,8.984181125800229e-30,1.45899711225967e-27,DOWN
BCIN_11g04190,Uncharacterized,-1.67921794931408,5.97157581053354,128.201379741065,1.01413055844991e-29,1.6164114289960003e-27,DOWN
BCIN_04g01840,Uncharacterized,-1.5821232376446,8.15654535144171,126.932358291567,1.92214408202039e-29,3.00798074799081e-27,DOWN
BCIN_04g00180,Uncharacterized,-2.23004399788555,5.9460132259259,122.366756419852,1.9187810504257099e-28,2.79914381373121e-26,DOWN
BCIN_06g00430,Uncharacterized,-1.93589776843784,7.45073019570515,118.127335581684,1.62606574716433e-27,2.15316121320667e-25,DOWN
BCIN_12g04950,Uncharacterized,-2.00085620313238,5.74613417116809,117.346338627136,2.41071781691458e-27,3.0968728731617504e-25,DOWN
BCIN_08g05090,Uncharacterized,-2.05323149364597,6.5351426010175,116.065580686176,4.5983633608218e-27,5.73595847052076e-25,DOWN
BCIN_10g05960,Uncharacterized,-3.14118347800369,4.2059092508696,112.899210950189,2.27026930203392e-26,2.75214195529662e-24,DOWN
BCIN_08g03450,Uncharacterized,-1.71751228318075,5.28963345899761,111.154003764243,5.47481356493392e-26,6.45503018539537e-24,DOWN
BCIN_15g05080,Bcgas5,-1.536469391523,8.39153825118095,109.817158217076,1.07459191340882e-25,1.24986656739321e-23,DOWN
BCIN_03g00400,Uncharacterized,-1.72098673741443,4.51807642485585,106.156260579259,6.81442507224659e-25,7.71733639431926e-23,DOWN
BCIN_14g01270,Uncharacterized,-3.36704095994595,5.76331305251772,102.583290049625,4.13607398625866e-24,4.44989859996604e-22,DOWN
BCIN_06g05340,Uncharacterized,-2.12272081875421,3.98568508498106,101.334766538528,7.76803256790402e-24,8.05535618216264e-22,DOWN
BCIN_09g07110,Uncharacterized,-3.24236039993047,6.26821377091021,101.276621713879,7.999434953152301e-24,8.19656388592641e-22,DOWN
BCIN_14g01390,Uncharacterized,-1.54578794957941,5.95245183772842,97.9795399407622,4.22727866385193e-23,4.08811095053635e-21,DOWN
BCIN_09g06680,Uncharacterized,-2.58837714107244,4.0074813388679,97.147623486747,6.43464661858902e-23,6.08604433474678e-21,DOWN
BCIN_04g06540,Uncharacterized,-2.37479699752476,5.34774656309334,91.5411366794228,1.09296303239496e-21,9.69807507198295e-20,DOWN
BCIN_13g05050,Uncharacterized,-2.65855297114282,6.76424078054583,88.7507031345521,4.47838227249783e-21,3.8545436219388804e-19,DOWN
BCIN_15g02550,Uncharacterized,-4.16841747939462,5.26986561844799,88.0050620680206,6.52871700984693e-21,5.50908502977966e-19,DOWN
BCIN_14g01100,Uncharacterized,-2.03974876083209,5.03758021310686,87.8061829472341,7.21929160445284e-21,5.974657965339e-19,DOWN
BCIN_06g00590,Uncharacterized,-1.14735197778909,4.48497496758667,86.0844671072419,1.72411769651295e-20,1.37402601980435e-18,DOWN
BCIN_13g05730,Uncharacterized,-2.05993972552148,7.09631417956261,85.8427421556295,1.9482916908852602e-20,1.5384354663715098e-18,DOWN
BCIN_14g01260,Uncharacterized,-2.68103087409453,6.93245370493554,85.4672818408917,2.35567279276164e-20,1.81029247565174e-18,DOWN
BCIN_08g06490,Uncharacterized,-1.67957120457796,4.33251017678138,85.2937853910153,2.57170242747495e-20,1.9416353327435898e-18,DOWN
BCIN_05g07230,Uncharacterized,-2.48275868264697,8.57821795120593,85.0141167708191,2.96242464015175e-20,2.2171816415466097e-18,DOWN
BCIN_01g02330,Uncharacterized,-2.0657217673364,3.4399519740306,84.809934495886,3.2846980842846804e-20,2.41635866764429e-18,DOWN
BCIN_03g02910,Uncharacterized,-2.71434943156027,3.53563475341455,84.0942249814888,4.71746705486399e-20,3.41203688581633e-18,DOWN
BCIN_03g02760,Bcap4,-2.5758202954232,7.54094972827965,83.5940073517074,6.0756963580433e-20,4.3577932128065594e-18,DOWN
BCIN_02g01150,Uncharacterized,-2.37108162045487,7.44033327725255,82.5668553709785,1.0215577617955201e-19,7.148412728271539e-18,DOWN
BCIN_04g06340,Uncharacterized,-1.81620769427882,4.283704576823,82.1712103198648,1.2479445158803201e-19,8.66214390982412e-18,DOWN
BCIN_06g04080,Uncharacterized,-1.91674090534827,4.0316352493733,82.0075203621804,1.35569858348605e-19,9.33479816645157e-18,DOWN
BCIN_16g04410,Uncharacterized,-2.2811610854379,4.58719115244655,81.1962167868388,2.0438286457456202e-19,1.36366148480097e-17,DOWN
BCIN_04g02310,Uncharacterized,-1.5071311908582,3.14982934342154,81.0350050331842,2.2175463005312e-19,1.46818623143631e-17,DOWN
BCIN_03g08840,Uncharacterized,-3.17747780915255,5.53239371456551,80.6592602075692,2.68194776005911e-19,1.76210109700983e-17,DOWN
BCIN_08g04630,Uncharacterized,-2.30774265989888,6.86017746036822,80.2224053578396,3.34552106508494e-19,2.1814318035747e-17,DOWN
BCIN_07g04950,Uncharacterized,-1.62368101954778,6.54411120212759,79.4934580568072,4.83824678595777e-19,3.10767090199541e-17,DOWN
BCIN_15g05090,Uncharacterized,-2.0147655046052,4.72585030845684,78.9371820482293,6.4116591938574995e-19,4.0281131884329603e-17,DOWN
BCIN_09g06850,Uncharacterized,-2.17197558848607,4.98480051967303,77.1921769917081,1.5510669614982899e-18,9.60434053065885e-17,DOWN
BCIN_11g04250,Uncharacterized,-1.97008710233095,3.75888041951432,76.9740944222369,1.7321517279772e-18,1.0649021373357e-16,DOWN
BCIN_12g02920,Uncharacterized,-3.16596350154254,4.17378881569812,76.80514147858,1.88685736309144e-18,1.15178590951263e-16,DOWN
BCIN_01g08080,Uncharacterized,-1.88060332333565,8.64729560266678,76.2815603578388,2.45969996466566e-18,1.48046416754387e-16,DOWN
BCIN_01g07340,Uncharacterized,-1.49994720280334,7.42253181645802,76.039219599137,2.7808634485577002e-18,1.65068218632663e-16,DOWN
BCIN_14g04300,Uncharacterized,-1.44164661755456,3.24227269729951,75.7574356385065,3.20741015616679e-18,1.89083419274846e-16,DOWN
BCIN_14g04540,Uncharacterized,-2.336012568483,2.94038120804997,75.7137863401426,3.27910157068497e-18,1.91994742985616e-16,DOWN
BCIN_14g04420,Uncharacterized,-1.9031851730537,7.67113142560785,74.617789237072,5.71261258713927e-18,3.25618917466938e-16,DOWN
BCIN_08g04460,Uncharacterized,-1.40426993491139,5.22114820334324,74.5343069923929,5.95936067852691e-18,3.3744879842158597e-16,DOWN
BCIN_10g04000,Uncharacterized,-2.31504882806434,3.24119651510301,74.0275095203129,7.703594958680919e-18,4.2777317296365597e-16,DOWN
BCIN_11g06430,Uncharacterized,-1.62063699398949,3.76611771848007,73.7191922152191,9.005896565004701e-18,4.93718163917169e-16,DOWN
BCIN_04g00870,Uncharacterized,-2.38673588286715,4.96361098207728,73.6005093377634,9.56400018061295e-18,5.14483434715848e-16,DOWN
BCIN_10g04960,Bcpth1,-1.56492626988466,3.82188923836374,73.6081517358345,9.527041963633119e-18,5.14483434715848e-16,DOWN
BCIN_05g02970,Uncharacterized,-1.71832820847926,4.66926053255386,73.0251220644206,1.28010027883432e-17,6.843368385047839e-16,DOWN
BCIN_02g01130,Uncharacterized,-1.69934197862976,6.45768948673366,71.8304555726072,2.3450475778229502e-17,1.2232620910498302e-15,DOWN
BCIN_02g07640,Bclcc7,-2.04058378196483,9.54130695891132,71.0805169212053,3.42939929403887e-17,1.7569547454638402e-15,DOWN
BCIN_10g01340,Uncharacterized,-4.3675221019148,5.72274983473776,70.9441252669172,3.67486339352287e-17,1.86056171929714e-15,DOWN
