Artigo,Funexpression
BCIN_07g00950,BCIN_01g00010
BCIN_10g05950,BCIN_01g00020
BCIN_06g05050,BCIN_01g00030
BCIN_15g05670,BCIN_01g00040
BCIN_07g00980,BCIN_01g00050
BCIN_07g00970,BCIN_01g00060
BCIN_07g00960,BCIN_01g00070
BCIN_04g05580,BCIN_01g00080
BCIN_12g01030,BCIN_01g00090
BCIN_09g01190,BCIN_01g00100
BCIN_16g02720,BCIN_01g00110
BCIN_05g03460,BCIN_01g00120
BCIN_07g01720,BCIN_01g00130
BCIN_05g08130,BCIN_01g00140
BCIN_12g01020,BCIN_01g00160
BCIN_01g09430,BCIN_01g00260
BCIN_05g05830,BCIN_01g00370
BCIN_11g01840,BCIN_01g00380
BCIN_10g00770,BCIN_01g00450
BCIN_02g07100,BCIN_01g00560
BCIN_01g08120,BCIN_01g00630
BCIN_01g03240,BCIN_01g00640
BCIN_09g04600,BCIN_01g00650
BCIN_07g00990,BCIN_01g00790
BCIN_02g03090,BCIN_01g00800
BCIN_14g00750,BCIN_01g00870
BCIN_16g00180,BCIN_01g00920
BCIN_16g04210,BCIN_01g00940
BCIN_02g00810,BCIN_01g00980
BCIN_06g05360,BCIN_01g01010
BCIN_12g05220,BCIN_01g01070
BCIN_05g01750,BCIN_01g01140
BCIN_14g04970,BCIN_01g01150
BCIN_08g06280,BCIN_01g01190
BCIN_09g05390,BCIN_01g01280
BCIN_02g04690,BCIN_01g01330
BCIN_07g04370,BCIN_01g01350
BCIN_06g02500,BCIN_01g01430
BCIN_09g05240,BCIN_01g01440
BCIN_12g00300,BCIN_01g01450
BCIN_10g05630,BCIN_01g01460
BCIN_13g02070,BCIN_01g01740
BCIN_03g02600,BCIN_01g01790
BCIN_09g04230,BCIN_01g01800
BCIN_06g02130,BCIN_01g01850
BCIN_05g02410,BCIN_01g01900
BCIN_11g00140,BCIN_01g01990
BCIN_11g06180,BCIN_01g02070
BCIN_02g00620,BCIN_01g02200
BCIN_10g01550,BCIN_01g02330
BCIN_06g04730,BCIN_01g02460
BCIN_13g02080,BCIN_01g02565
BCIN_11g06000,BCIN_01g02580
BCIN_11g01950,BCIN_01g02610
BCIN_13g05560,BCIN_01g02670
BCIN_08g00950,BCIN_01g02840
BCIN_10g05620,BCIN_01g02890
BCIN_03g05230,BCIN_01g02950
BCIN_02g03480,BCIN_01g02970
BCIN_16g04480,BCIN_01g03010
BCIN_12g06310,BCIN_01g03130
BCIN_02g09260,BCIN_01g03300
BCIN_03g01970,BCIN_01g03310
BCIN_08g05870,BCIN_01g03350
BCIN_07g02940,BCIN_01g03360
BCIN_02g05460,BCIN_01g03370
BCIN_09g02240,BCIN_01g03420
BCIN_09g00620,BCIN_01g03460
BCIN_12g05820,BCIN_01g03470
BCIN_09g00650,BCIN_01g03530
BCIN_16g03420,BCIN_01g03540
BCIN_04g01780,BCIN_01g03560
BCIN_03g03440,BCIN_01g03620
BCIN_04g02660,BCIN_01g03780
BCIN_15g02200,BCIN_01g04060
BCIN_14g01530,BCIN_01g04070
BCIN_12g04840,BCIN_01g04120
BCIN_08g02120,BCIN_01g04130
BCIN_09g04570,BCIN_01g04140
BCIN_04g03230,BCIN_01g04150
BCIN_02g08890,BCIN_01g04270
BCIN_04g05950,BCIN_01g04280
BCIN_01g11220,BCIN_01g04310
BCIN_07g05540,BCIN_01g04420
BCIN_02g07760,BCIN_01g04470
BCIN_16g02900,BCIN_01g04580
BCIN_10g04130,BCIN_01g04620
BCIN_09g05250,BCIN_01g04750
BCIN_01g08160,BCIN_01g04880
BCIN_11g06470,BCIN_01g04890
BCIN_02g03960,BCIN_01g04900
BCIN_12g03570,BCIN_01g04910
BCIN_02g03390,BCIN_01g04920
BCIN_11g02180,BCIN_01g05040
BCIN_08g00400,BCIN_01g05070
BCIN_14g05510,BCIN_01g05100
BCIN_10g04090,BCIN_01g05110
BCIN_06g05350,BCIN_01g05170
BCIN_13g00300,BCIN_01g05260
BCIN_09g05090,BCIN_01g05270
BCIN_09g02260,BCIN_01g05290
BCIN_03g09210,BCIN_01g05310
BCIN_02g00800,BCIN_01g05330
BCIN_02g05470,BCIN_01g05370
BCIN_13g04820,BCIN_01g05380
BCIN_09g04440,BCIN_01g05400
BCIN_06g07380,BCIN_01g05460
BCIN_07g03040,BCIN_01g05480
BCIN_07g02500,BCIN_01g05510
BCIN_01g03760,BCIN_01g05590
BCIN_08g05730,BCIN_01g05690
BCIN_07g04800,BCIN_01g05700
BCIN_12g00760,BCIN_01g05720
BCIN_15g01190,BCIN_01g05740
BCIN_09g05400,BCIN_01g05790
BCIN_07g04350,BCIN_01g05880
BCIN_01g10580,BCIN_01g05890
BCIN_05g07630,BCIN_01g06010
BCIN_02g02450,BCIN_01g06040
BCIN_06g06240,BCIN_01g06090
BCIN_03g03610,BCIN_01g06220
BCIN_03g08030,BCIN_01g06260
BCIN_05g00920,BCIN_01g06290
BCIN_02g04940,BCIN_01g06300
BCIN_03g04830,BCIN_01g06330
BCIN_04g00770,BCIN_01g06340
BCIN_13g05580,BCIN_01g06370
BCIN_01g06600,BCIN_01g06440
BCIN_03g04340,BCIN_01g06520
BCIN_04g02680,BCIN_01g06650
BCIN_11g01810,BCIN_01g06670
BCIN_07g05550,BCIN_01g06690
BCIN_01g02380,BCIN_01g06990
BCIN_14g00310,BCIN_01g07040
BCIN_14g03450,BCIN_01g07080
BCIN_09g04610,BCIN_01g07090
BCIN_01g01620,BCIN_01g07100
BCIN_06g04850,BCIN_01g07200
BCIN_09g00980,BCIN_01g07300
BCIN_03g02710,BCIN_01g07320
BCIN_16g01630,BCIN_01g07330
BCIN_12g02060,BCIN_01g07340
BCIN_16g03620,BCIN_01g07420
BCIN_12g05550,BCIN_01g07450
BCIN_04g01410,BCIN_01g07500
BCIN_02g02100,BCIN_01g07600
BCIN_11g00230,BCIN_01g07610
BCIN_02g01420,BCIN_01g07670
BCIN_14g01490,BCIN_01g07710
BCIN_02g03860,BCIN_01g07720
BCIN_16g03740,BCIN_01g07830
BCIN_14g00650,BCIN_01g07860
BCIN_03g00640,BCIN_01g08040
BCIN_08g05170,BCIN_01g08080
BCIN_09g00660,BCIN_01g08170
BCIN_02g04400,BCIN_01g08200
BCIN_03g02050,BCIN_01g08210
BCIN_05g03820,BCIN_01g08360
BCIN_06g02460,BCIN_01g08370
BCIN_10g04340,BCIN_01g08390
BCIN_02g03670,BCIN_01g08500
BCIN_04g06870,BCIN_01g08530
BCIN_01g01550,BCIN_01g08590
BCIN_08g03080,BCIN_01g08760
BCIN_05g05560,BCIN_01g08820
BCIN_13g05360,BCIN_01g08900
BCIN_14g03890,BCIN_01g08920
BCIN_12g04870,BCIN_01g09000
BCIN_03g02030,BCIN_01g09010
BCIN_07g03290,BCIN_01g09060
BCIN_11g02170,BCIN_01g09300
BCIN_06g07420,BCIN_01g09310
BCIN_08g00340,BCIN_01g09330
BCIN_12g01880,BCIN_01g09340
BCIN_15g05320,BCIN_01g09350
BCIN_05g02340,BCIN_01g09360
BCIN_05g07330,BCIN_01g09380
BCIN_06g00550,BCIN_01g09540
BCIN_02g06250,BCIN_01g09550
BCIN_07g04230,BCIN_01g09560
BCIN_12g00550,BCIN_01g09570
BCIN_14g01090,BCIN_01g09620
BCIN_08g01400,BCIN_01g09690
BCIN_01g06210,BCIN_01g09720
BCIN_07g01990,BCIN_01g09740
BCIN_12g03560,BCIN_01g09770
BCIN_09g02070,BCIN_01g09810
BCIN_07g05910,BCIN_01g09860
BCIN_01g05300,BCIN_01g09910
BCIN_03g06930,BCIN_01g10160
BCIN_14g03430,BCIN_01g10180
BCIN_10g05550,BCIN_01g10230
BCIN_08g03570,BCIN_01g10270
BCIN_01g08140,BCIN_01g10320
BCIN_02g04550,BCIN_01g10380
BCIN_16g02960,BCIN_01g10410
BCIN_13g03510,BCIN_01g10420
BCIN_09g00170,BCIN_01g10460
BCIN_16g03940,BCIN_01g10620
BCIN_06g01000,BCIN_01g10660
BCIN_09g05190,BCIN_01g10680
BCIN_01g04550,BCIN_01g10810
BCIN_08g07050,BCIN_01g10830
BCIN_05g06890,BCIN_01g10840
BCIN_11g06460,BCIN_01g10980
BCIN_12g05770,BCIN_01g11030
BCIN_09g04790,BCIN_01g11450
BCIN_06g01730,BCIN_01g11460
BCIN_09g03950,BCIN_01g11470
BCIN_04g01400,BCIN_01g11480
BCIN_04g06700,BCIN_01g11490
BCIN_08g00890,BCIN_01g11500
BCIN_02g01730,BCIN_01g11510
BCIN_13g05740,BCIN_01g11520
BCIN_05g01000,BCIN_01g11530
BCIN_07g04000,BCIN_01g11540
BCIN_12g06190,BCIN_01g11550
BCIN_09g03540,BCIN_02g00013
BCIN_07g03280,BCIN_02g00014
BCIN_11g04970,BCIN_02g00016
BCIN_14g05470,BCIN_02g00090
BCIN_02g08880,BCIN_02g00140
BCIN_15g00330,BCIN_02g00150
BCIN_15g05140,BCIN_02g00160
BCIN_07g05560,BCIN_02g00220
BCIN_04g03320,BCIN_02g00280
BCIN_09g03810,BCIN_02g00290
BCIN_03g04550,BCIN_02g00300
BCIN_11g01190,BCIN_02g00460
BCIN_05g06840,BCIN_02g00530
BCIN_15g04830,BCIN_02g00640
BCIN_02g07820,BCIN_02g00650
BCIN_01g05420,BCIN_02g00660
BCIN_12g00870,BCIN_02g00720
BCIN_01g03940,BCIN_02g00860
BCIN_16g03370,BCIN_02g00880
BCIN_02g00170,BCIN_02g00900
BCIN_02g05500,BCIN_02g00970
BCIN_16g02810,BCIN_02g01010
BCIN_01g00400,BCIN_02g01020
BCIN_02g09090,BCIN_02g01040
BCIN_13g04240,BCIN_02g01080
BCIN_06g03370,BCIN_02g01120
BCIN_04g03620,BCIN_02g01130
BCIN_05g06910,BCIN_02g01140
BCIN_14g03740,BCIN_02g01150
BCIN_01g03120,BCIN_02g01180
BCIN_06g00580,BCIN_02g01350
BCIN_09g02230,BCIN_02g01490
BCIN_11g05520,BCIN_02g01560
BCIN_01g08110,BCIN_02g01600
BCIN_08g01980,BCIN_02g01610
BCIN_10g01780,BCIN_02g01620
BCIN_14g05280,BCIN_02g01720
BCIN_07g01530,BCIN_02g01770
BCIN_05g05160,BCIN_02g01820
BCIN_12g05630,BCIN_02g01830
BCIN_07g02370,BCIN_02g01870
BCIN_11g06270,BCIN_02g01880
BCIN_03g03480,BCIN_02g01910
BCIN_01g07530,BCIN_02g01930
BCIN_03g02130,BCIN_02g02020
BCIN_11g01040,BCIN_02g02050
BCIN_03g01500,BCIN_02g02300
BCIN_11g00340,BCIN_02g02350
BCIN_04g06720,BCIN_02g02360
BCIN_15g00520,BCIN_02g02400
BCIN_12g00860,BCIN_02g02570
BCIN_05g01450,BCIN_02g02600
BCIN_13g03210,BCIN_02g02740
BCIN_01g08340,BCIN_02g02830
BCIN_08g00910,BCIN_02g02880
BCIN_13g04200,BCIN_02g03050
BCIN_01g08150,BCIN_02g03060
BCIN_13g02550,BCIN_02g03160
BCIN_13g05430,BCIN_02g03240
BCIN_05g02430,BCIN_02g03270
BCIN_15g00260,BCIN_02g03330
BCIN_02g02000,BCIN_02g03470
BCIN_03g06500,BCIN_02g03520
BCIN_01g05950,BCIN_02g03530
BCIN_15g05300,BCIN_02g03540
BCIN_02g07720,BCIN_02g03550
BCIN_11g03760,BCIN_02g03580
BCIN_07g06540,BCIN_02g03800
BCIN_10g04270,BCIN_02g03810
BCIN_01g00360,BCIN_02g03950
BCIN_11g05450,BCIN_02g04010
BCIN_03g07180,BCIN_02g04090
BCIN_03g08710,BCIN_02g04110
BCIN_06g00140,BCIN_02g04130
BCIN_12g02080,BCIN_02g04180
BCIN_14g05530,BCIN_02g04190
BCIN_11g01370,BCIN_02g04200
BCIN_01g02910,BCIN_02g04220
BCIN_01g09980,BCIN_02g04340
