Artigo,Funexpression
BCIN_15g05080,BCIN_01g00200
BCIN_03g00190,BCIN_01g00210
BCIN_13g01110,BCIN_01g00220
BCIN_01g11500,BCIN_01g00350
BCIN_05g04770,BCIN_01g00360
BCIN_04g04150,BCIN_01g00400
BCIN_01g11480,BCIN_01g00410
BCIN_01g11470,BCIN_01g00590
BCIN_02g04360,BCIN_01g00610
BCIN_01g00800,BCIN_01g00620
BCIN_01g11520,BCIN_01g00630
BCIN_13g02690,BCIN_01g00710
BCIN_01g11540,BCIN_01g00750
BCIN_06g04090,BCIN_01g00760
BCIN_11g03590,BCIN_01g00880
BCIN_05g01820,BCIN_01g00900
BCIN_01g00100,BCIN_01g00950
BCIN_01g10840,BCIN_01g00960
BCIN_05g06090,BCIN_01g00970
BCIN_06g03740,BCIN_01g01050
BCIN_01g11450,BCIN_01g01100
BCIN_13g01120,BCIN_01g01115
BCIN_09g04280,BCIN_01g01180
BCIN_11g00090,BCIN_01g01300
BCIN_14g04440,BCIN_01g01400
BCIN_11g00620,BCIN_01g01500
BCIN_01g10380,BCIN_01g01540
BCIN_15g03080,BCIN_01g01550
BCIN_05g03540,BCIN_01g01620
BCIN_01g11530,BCIN_01g01670
BCIN_08g04630,BCIN_01g01680
BCIN_07g04920,BCIN_01g01720
BCIN_02g04960,BCIN_01g01810
BCIN_13g02230,BCIN_01g01820
BCIN_13g03630,BCIN_01g01830
BCIN_15g04800,BCIN_01g01850
BCIN_03g08050,BCIN_01g01910
BCIN_07g00370,BCIN_01g01940
BCIN_11g00870,BCIN_01g01950
BCIN_06g03730,BCIN_01g01980
BCIN_06g00520,BCIN_01g02060
BCIN_01g09540,BCIN_01g02070
BCIN_10g01350,BCIN_01g02090
BCIN_13g02680,BCIN_01g02100
BCIN_05g05960,BCIN_01g02120
BCIN_01g07120,BCIN_01g02130
BCIN_01g02950,BCIN_01g02140
BCIN_09g05270,BCIN_01g02250
BCIN_06g03270,BCIN_01g02370
BCIN_12g02690,BCIN_01g02380
BCIN_04g00420,BCIN_01g02390
BCIN_01g11460,BCIN_01g02440
BCIN_11g01980,BCIN_01g02450
BCIN_04g06340,BCIN_01g02490
BCIN_05g05650,BCIN_01g02550
BCIN_02g07900,BCIN_01g02600
BCIN_03g05650,BCIN_01g02690
BCIN_06g04670,BCIN_01g02750
BCIN_13g02640,BCIN_01g02850
BCIN_10g00970,BCIN_01g02860
BCIN_15g04810,BCIN_01g02870
BCIN_02g00015,BCIN_01g02880
BCIN_04g06040,BCIN_01g02900
BCIN_01g11490,BCIN_01g02910
BCIN_07g03720,BCIN_01g02940
BCIN_05g02830,BCIN_01g03000
BCIN_09g02040,BCIN_01g03020
BCIN_07g00780,BCIN_01g03050
BCIN_16g04610,BCIN_01g03060
BCIN_01g06990,BCIN_01g03160
BCIN_14g02740,BCIN_01g03180
BCIN_09g06090,BCIN_01g03240
BCIN_07g05330,BCIN_01g03270
BCIN_05g03370,BCIN_01g03460
BCIN_04g02310,BCIN_01g03510
BCIN_09g04880,BCIN_01g03590
BCIN_06g01780,BCIN_01g03710
BCIN_07g05680,BCIN_01g03720
BCIN_04g04680,BCIN_01g03760
BCIN_14g04420,BCIN_01g03820
BCIN_09g06840,BCIN_01g03830
BCIN_15g04780,BCIN_01g03890
BCIN_09g05940,BCIN_01g03900
BCIN_16g05120,BCIN_01g03920
BCIN_13g01670,BCIN_01g03930
BCIN_08g03390,BCIN_01g03940
BCIN_09g00220,BCIN_01g04040
BCIN_14g00860,BCIN_01g04100
BCIN_11g00660,BCIN_01g04110
BCIN_01g00920,BCIN_01g04120
BCIN_02g06350,BCIN_01g04160
BCIN_09g05690,BCIN_01g04210
BCIN_01g11550,BCIN_01g04220
BCIN_06g01030,BCIN_01g04230
BCIN_05g03550,BCIN_01g04240
BCIN_14g03300,BCIN_01g04250
BCIN_06g04080,BCIN_01g04340
BCIN_12g02660,BCIN_01g04370
BCIN_06g04420,BCIN_01g04380
BCIN_15g03870,BCIN_01g04500
BCIN_11g00880,BCIN_01g04510
BCIN_12g05470,BCIN_01g04520
BCIN_03g08470,BCIN_01g04530
BCIN_10g01760,BCIN_01g04550
BCIN_16g04620,BCIN_01g04780
BCIN_16g04630,BCIN_01g04800
BCIN_05g01960,BCIN_01g04850
BCIN_07g06050,BCIN_01g04930
BCIN_15g04750,BCIN_01g04960
BCIN_04g02330,BCIN_01g04980
BCIN_10g01020,BCIN_01g05020
BCIN_02g01130,BCIN_01g05150
BCIN_08g02710,BCIN_01g05190
BCIN_14g01400,BCIN_01g05230
BCIN_03g02890,BCIN_01g05240
BCIN_12g06430,BCIN_01g05300
BCIN_09g06850,BCIN_01g05330
BCIN_06g03780,BCIN_01g05420
BCIN_04g06680,BCIN_01g05440
BCIN_04g01320,BCIN_01g05450
BCIN_05g03350,BCIN_01g05530
BCIN_11g06430,BCIN_01g05550
BCIN_11g02620,BCIN_01g05600
BCIN_04g06350,BCIN_01g05620
BCIN_01g06010,BCIN_01g05630
BCIN_11g03710,BCIN_01g05650
BCIN_01g04140,BCIN_01g05660
BCIN_01g11510,BCIN_01g05670
BCIN_07g05710,BCIN_01g05740
BCIN_01g00790,BCIN_01g05750
BCIN_06g00970,BCIN_01g05780
BCIN_06g02510,BCIN_01g05790
BCIN_10g01340,BCIN_01g05800
BCIN_12g02040,BCIN_01g05920
BCIN_11g03870,BCIN_01g05950
BCIN_06g05340,BCIN_01g05960
BCIN_06g06420,BCIN_01g05980
BCIN_05g00390,BCIN_01g06040
BCIN_15g02820,BCIN_01g06060
BCIN_15g01200,BCIN_01g06100
BCIN_08g03410,BCIN_01g06160
