Gene_ID,Gene_Name,logFC,logCPM,LR,PValue,FDR,Regulation
BCIN_15g05080,Bcgas5,6.57705030335371,8.39153825118095,1238.64275427962,2.43927348666709e-271,2.09948268997436e-267,UP
BCIN_03g00190,Uncharacterized,6.80060442111347,5.95296222221921,790.447101865579,6.44241452875007e-174,1.3862465462238001e-170,UP
BCIN_13g01110,Uncharacterized,4.51568992753144,5.69691317031275,783.74573263492,1.8453410693835102e-172,3.17657011683677e-169,UP
BCIN_01g11500,Uncharacterized,6.80452420790657,9.39605545916598,709.117985991846,3.11140356393686e-156,3.82569292497208e-153,UP
BCIN_05g04770,Uncharacterized,5.25009366121226,7.89597755192828,680.765679831519,4.5542461610446003e-150,4.89979958851386e-147,UP
BCIN_04g04150,Uncharacterized,7.95348862208383,7.33666383524161,566.770907253143,2.8296623404491e-125,2.2140821603859397e-122,UP
BCIN_01g11480,Uncharacterized,8.70557942256463,8.85150883300897,545.586317224783,1.1485567033150401e-120,7.60432888110195e-118,UP
BCIN_01g11470,Uncharacterized,5.48669247181137,8.9238247749602,520.166790460284,3.89273131550593e-115,2.39319560232568e-112,UP
BCIN_02g04360,Bcygh1,3.25389513919796,7.62404237624593,510.265404745774,5.55226544397605e-113,3.18588991175346e-110,UP
BCIN_01g00800,Bclcc8,2.93323152727223,5.1435154783409,488.42215331415,3.14148290053976e-108,1.5905143132321e-105,UP
BCIN_01g11520,Uncharacterized,5.5786391917637,8.84750208416736,487.541462282416,4.88387609223353e-108,2.33530675143633e-105,UP
BCIN_13g02690,Uncharacterized,3.28662655524484,6.90462907947446,444.583969147193,1.08845246595166e-98,3.90346265601916e-96,UP
BCIN_01g11540,Uncharacterized,6.26970159802838,8.32360499045423,426.478353052645,9.49251842221701e-95,3.0260039281489596e-92,UP
BCIN_06g04090,Uncharacterized,5.13365157585962,3.00868668166686,424.627077705203,2.4006068883980797e-94,7.379294103015089e-92,UP
BCIN_11g03590,Uncharacterized,5.85678559554743,3.55374002852382,421.875992523947,9.53051675221885e-94,2.6461018608499203e-91,UP
BCIN_05g01820,Uncharacterized,2.65277458760961,6.38055234303347,416.681770694088,1.2873743786098e-92,3.35770644748321e-90,UP
BCIN_01g00100,Bcboa10,8.10622648804658,4.43422410979874,411.737410953936,1.5344002322895902e-91,3.77330937123328e-89,UP
BCIN_01g10840,Uncharacterized,3.35231344182348,9.55188764303329,407.123056875818,1.55013105212252e-90,3.7061049904495903e-88,UP
BCIN_05g06090,Uncharacterized,4.28528561254809,5.86121002890574,404.187649826205,6.75068174993284e-90,1.57035453572086e-87,UP
BCIN_06g03740,Uncharacterized,6.59490079738398,2.68089441428983,397.079628756181,2.38050180987355e-88,5.3918365993636e-86,UP
BCIN_01g11450,Bcnrps7,6.36601211433468,8.77473787632194,395.096307618661,6.43314180719909e-88,1.41974491114263e-85,UP
BCIN_13g01120,Uncharacterized,5.9667326834994,7.91360448282888,392.43317244827,2.44442570864359e-87,5.1315053839744803e-85,UP
BCIN_09g04280,Uncharacterized,2.30501338681336,6.25722525308794,373.33102505397,3.5231842917598595e-83,7.05210399980862e-81,UP
BCIN_11g00090,Uncharacterized,2.54552385248198,5.18536522746753,373.265779539921,3.64033203010418e-83,7.12098585979698e-81,UP
BCIN_14g04440,Uncharacterized,3.87220990378875,8.02311191429302,360.303976600141,2.41765321613734e-80,4.5236393981073995e-78,UP
BCIN_11g00620,Uncharacterized,3.48232876878841,5.71833051603379,350.89602592945,2.70407024177493e-78,4.7497821573381304e-76,UP
BCIN_01g10380,Uncharacterized,4.804398749562,7.64891212673439,349.432492023071,5.63278000174893e-78,9.6962674950106e-76,UP
BCIN_15g03080,BccutA,3.88657448809119,3.94528580113232,330.396684397829,7.87751287460679e-74,1.21074559485251e-71,UP
BCIN_05g03540,Uncharacterized,8.25754600353962,4.60275070527702,327.043584042539,4.2335759900229303e-73,6.39269974493462e-71,UP
BCIN_01g11530,Uncharacterized,4.81513036573732,8.71244444708352,325.339880919914,9.94922167399375e-73,1.47643018875973e-70,UP
BCIN_08g04630,Uncharacterized,5.24482934621794,6.86017746036822,315.012820881603,1.76702683492856e-70,2.49324589643116e-68,UP
BCIN_07g04920,Uncharacterized,4.07917682530514,5.81679355683529,314.497918728108,2.2877350808132e-70,3.17589287750955e-68,UP
BCIN_02g04960,Uncharacterized,3.2105063661965,5.66384609926048,308.062830174296,5.770697390032809e-69,7.64129114400191e-67,UP
BCIN_13g02230,Uncharacterized,2.96624409185122,4.85356849520967,304.073274350081,4.2693490640543905e-68,5.40386579328178e-66,UP
BCIN_13g03630,Uncharacterized,5.14017740483778,4.20394999603945,300.808505796705,2.19596779241022e-67,2.62509649851038e-65,UP
BCIN_15g04800,Uncharacterized,4.7921998566722,5.19353025058963,298.828839944541,5.928288588270641e-67,6.80330398389939e-65,UP
BCIN_03g08050,Bcpks13,4.80060755675354,9.36132314933141,296.185944225894,2.23225151764429e-66,2.43202390029929e-64,UP
BCIN_07g00370,Uncharacterized,7.55340207356394,3.96629803968915,293.297067885232,9.50974369516523e-66,1.0104983207936701e-63,UP
BCIN_11g00870,Uncharacterized,4.20419103776935,4.89565063373703,272.229238000035,3.7073518497334505e-61,3.75402086713597e-59,UP
BCIN_06g03730,Uncharacterized,6.58830580167344,4.29835241455325,270.949298203875,7.047176810327731e-61,6.97184492028629e-59,UP
