Gene_ID	Gene_Name	logFC	logCPM	LR	PValue	FDR
BCIN_07g00950	Uncharacterized	-7.5611312587608	5.45793097625106	909.033519492029	1.06672623243672e-199	9.18131268258287e-196
BCIN_03g00190	Uncharacterized	6.83645432653173	5.95296222221921	756.043841092425	1.94652460038068e-166	8.37686861773827e-163
BCIN_01g00800	Bclcc8	3.57398232239296	5.1435154783409	659.400860456007	2.01665513384742e-145	5.78578357900825e-142
BCIN_02g04360	Bcygh1	3.67206420795137	7.62404237624593	631.022934372583	2.9946273047583e-139	6.44368930301366e-136
BCIN_10g05950	Bcpac1	-9.53928596853573	8.01433547762016	609.375523687806	1.52958670029013e-134	2.63303054587943e-131
BCIN_04g04150	Uncharacterized	7.71833300015891	7.33666383524161	558.832323548208	1.50878858365396e-123	2.1643572232516e-120
BCIN_06g05050	Uncharacterized	-8.08072689612459	7.91679583436314	537.105676408645	8.03691925935252e-119	9.8819662950353e-116
BCIN_01g11480	Uncharacterized	8.63628001003886	8.85150883300897	535.322483321075	1.96347115206772e-118	2.11244952573085e-115
BCIN_01g11520	Uncharacterized	5.95225846277134	8.84750208416736	531.195894755132	1.55158648971654e-117	1.48383387966559e-114
BCIN_15g05080	Bcgas5	3.75068100264056	8.39153825118095	530.5688332563	2.12420386132768e-117	1.82830226344474e-114
BCIN_11g03590	Uncharacterized	5.80384818202478	3.55374002852382	495.709814242032	8.15522779338861e-110	6.38109505615416e-107
BCIN_15g05670	Uncharacterized	-6.02328456316064	7.17775985045669	480.469809812024	1.68855110108504e-106	1.21111327725325e-103
BCIN_01g11540	Uncharacterized	6.84006421773973	8.32360499045423	479.879319461918	2.26988310697255e-106	1.50283722320867e-103
BCIN_07g00980	Uncharacterized	-5.04675935089421	5.96486935876264	459.459591537393	6.30222100974484e-102	3.87451544506242e-99
BCIN_01g11530	Uncharacterized	6.09391813696482	8.71244444708352	453.599622386686	1.18780459665947e-100	6.81562277563205e-98
BCIN_01g11470	Uncharacterized	4.89903073863579	8.9238247749602	439.382533832672	1.47513193345364e-97	7.93528784452218e-95
BCIN_07g00970	Uncharacterized	-4.49221178993572	5.94130585651882	434.848389973993	1.43103404074092e-96	7.24524116979828e-94
BCIN_07g00960	Uncharacterized	-4.36428472439577	6.75763582706291	422.37493110143	7.42194709747651e-94	3.54892770377668e-91
BCIN_01g11500	Uncharacterized	4.71571571977805	9.39605545916598	415.237995471422	2.65440260032343e-92	1.20244437794651e-89
BCIN_01g00100	Bcboa10	8.63113738189008	4.43422410979874	413.87567917243	5.25412266255929e-92	2.26111168783239e-89
BCIN_04g05580	Uncharacterized	-6.44066162802856	4.69523243610387	403.472941507225	9.65888523929234e-90	3.95876310736139e-87
BCIN_12g01030	Uncharacterized	-6.0891963884793	9.05728148744776	362.905902076917	6.55902226360204e-81	2.56606839194649e-78
BCIN_05g06090	Uncharacterized	3.95432498738515	5.86121002890574	355.8559854876	2.24877256632842e-79	8.41529803408204e-77
BCIN_09g01190	Uncharacterized	-7.36839443384194	9.65985372203419	340.231515743678	5.68133818437834e-76	2.03746990637268e-73
BCIN_01g10840	Uncharacterized	2.97469476398892	9.55188764303329	330.461448108585	7.62576738885147e-74	2.62539919663378e-71
BCIN_11g00870	Uncharacterized	4.71450028649765	4.89565063373703	325.647614938145	8.52631665389739e-73	2.82253874769596e-70
BCIN_14g02740	Uncharacterized	3.39878067283795	5.22858146194356	325.468820393384	9.3262002009813e-73	2.97298537517948e-70
BCIN_01g11450	Bcnrps7	5.59805781085099	8.77473787632194	324.917076484666	1.2299305702784e-72	3.78071872085221e-70
BCIN_16g02720	Uncharacterized	-3.75354732049959	3.02651111838233	298.005019612109	8.96221094806842e-67	2.65992240103534e-64
BCIN_09g04280	Uncharacterized	2.09218254111768	6.25722525308794	297.130700286337	1.38964861749437e-66	3.98690188359133e-64
BCIN_03g08050	Bcpks13	4.72293272730793	9.36132314933141	288.822601038957	8.97640957838537e-65	2.4922566851988e-62
BCIN_05g03460	Uncharacterized	-6.17219244970701	5.20615553743986	286.534249462099	2.82961535495625e-64	7.61078105003388e-62
BCIN_07g01720	Uncharacterized	-5.07452551459368	5.98212061048561	281.50066709901	3.53653405748938e-63	9.22392382812457e-61
BCIN_05g08130	Uncharacterized	-3.71219281161487	4.07212193055627	277.286451193484	2.9304583446278e-62	7.41836910947397e-60
BCIN_12g01020	Bcoah	-7.35000093312761	12.6759339842276	261.871443614889	6.7079781778248e-59	1.6495876621868e-56
BCIN_01g09430	Uncharacterized	-4.40634382042136	3.28467640193001	257.686210727856	5.48119768395493e-58	1.31046301293889e-55
BCIN_01g06990	Uncharacterized	3.48914553479476	6.47855396703178	255.990275541551	1.28400292661105e-57	2.98686842955171e-55
BCIN_05g05830	Uncharacterized	-3.62496910822876	5.05118245975439	253.035471590263	5.65841943789263e-57	1.28163200268268e-54
BCIN_05g04010	Uncharacterized	2.81707059359388	5.19272416736137	249.103848279684	4.07202289700076e-56	8.98664130115014e-54
BCIN_14g03300	Uncharacterized	3.22137884258395	8.28322002805509	245.31272799943	2.73114830557325e-55	5.87674836651724e-53
BCIN_07g05330	Uncharacterized	6.02922278073534	2.82309095966839	243.910350944341	5.52207804792666e-55	1.15923233557329e-52
BCIN_11g01840	Uncharacterized	-4.6781713273545	3.02782475053715	240.93935580388	2.45406275988505e-54	5.02907575579301e-52
BCIN_15g04800	Uncharacterized	3.97256874940276	5.19353025058963	236.963552311852	1.80635827064848e-53	3.61565712452826e-51
BCIN_10g00770	Uncharacterized	-2.27693536997359	5.59455845965398	236.138855568238	2.7329727011995e-53	5.34606728164184e-51
BCIN_02g07100	Uncharacterized	-4.51936320362973	2.66035135702149	231.300950658993	3.10191822996917e-52	5.9329356011877e-50
BCIN_06g03740	Uncharacterized	4.5420587291565	2.68089441428983	225.556058711382	5.55306085708955e-51	1.03902597384717e-48
BCIN_01g08120	Uncharacterized	-3.9687780842261	4.05239895452666	220.70715982365	6.34066928594579e-50	1.16115192647097e-47
BCIN_13g01110	Uncharacterized	2.0998868275691	5.69691317031275	217.596181822376	3.02503536126217e-49	5.42426653216323e-47
BCIN_01g03240	Uncharacterized	-2.93363415939679	5.65702460506178	214.141546897533	1.71529407924755e-48	3.01296655920075e-46
BCIN_01g11490	Uncharacterized	9.35880005681075	8.99220180360036	213.88553676209	1.95068825562252e-48	3.3579147632286e-46
BCIN_11g00880	Uncharacterized	3.86764483041295	2.26679733799563	213.776345291615	2.06066961338691e-48	3.47768301223943e-46
BCIN_09g04600	Uncharacterized	-2.60113016568486	4.83573437407055	213.323186966024	2.58742054177025e-48	4.28267857750317e-46
BCIN_07g00990	Uncharacterized	-2.9019561974383	5.94618111427141	212.462382926139	3.98710975141696e-48	6.47491577932939e-46
BCIN_02g03090	Uncharacterized	-3.39204846652496	7.00804545761892	210.252452248712	1.21000742395721e-47	1.92861738851847e-45
BCIN_11g01450	Bhp2	4.56912861366624	5.9440311858142	208.869223275942	2.42422170379151e-47	3.79368658264246e-45
BCIN_14g00750	Uncharacterized	-3.06697339163888	3.69857258085324	205.638963180082	1.22847698551428e-46	1.88812525255739e-44
BCIN_02g00015	Uncharacterized	9.74879512639436	1.67424214126171	202.569287178992	5.74345675172611e-46	8.67261969510643e-44
BCIN_16g00180	Uncharacterized	-3.16855059519302	3.7969165383763	201.845928065445	8.26072366679704e-46	1.22586290689866e-43
BCIN_16g04210	Bcidl1	-4.23033783115227	2.51666103142215	198.126740310667	5.35338512576441e-45	7.80959080973801e-43
BCIN_01g00790	Uncharacterized	2.92919396131784	4.03986159752728	195.895093569557	1.64308423227807e-44	2.34970129552525e-42
BCIN_01g11550	Bcpks5	6.25176653863285	9.05550105097504	195.868376500688	1.66529312219171e-44	2.34970129552525e-42
BCIN_06g03730	Uncharacterized	5.02521954781234	4.29835241455325	194.257359787879	3.74191578873375e-44	5.19462406348894e-42
BCIN_05g03540	Uncharacterized	6.02067543869409	4.60275070527702	193.656897368879	5.05997374501736e-44	6.85828806335025e-42
BCIN_15g04780	Uncharacterized	3.84260089576743	6.39773474804576	193.641339445974	5.09969136812381e-44	6.85828806335025e-42
BCIN_07g03800	Uncharacterized	5.38059045208593	2.55373802470952	193.567847555957	5.29156399758869e-44	7.00684481957628e-42
BCIN_13g01120	Uncharacterized	3.72726960420317	7.91360448282888	192.302232407149	9.99583182147927e-44	1.30354734071927e-41
BCIN_07g05680	Uncharacterized	2.1588060783224	5.47293925373139	188.175180177818	7.9553567656672e-43	1.02196650271787e-40
BCIN_16g01000	CND8	4.06255018610515	11.2499423455129	186.928481727967	1.48869326279427e-42	1.88429160483387e-40
BCIN_02g00810	Uncharacterized	-2.15891554445947	5.73078495849338	186.217577048438	2.12811442440573e-42	2.65459142766089e-40
BCIN_13g02690	Uncharacterized	2.02377182545752	6.90462907947446	185.31316975855	3.35297742336939e-42	4.12272524042005e-40
BCIN_02g01130	Uncharacterized	2.93490115384176	6.45768948673366	184.737156598778	4.47898074236953e-42	5.41289601324435e-40
BCIN_06g05360	Uncharacterized	-3.10775139119233	4.662121773991	184.715484780682	4.52804127981403e-42	5.41289601324435e-40
BCIN_12g05220	Uncharacterized	-3.10793483174121	4.09447118610624	183.63156176072	7.80810676258835e-42	9.2060787541915e-40
BCIN_15g04810	Bcmfs1	3.42486750731896	3.63700775637186	181.659722387346	2.10399434204513e-41	2.44717287864627e-39
BCIN_05g01750	Uncharacterized	-1.63530970910845	8.12304816981103	181.608003259417	2.15941643331166e-41	2.47814629886846e-39
BCIN_14g04970	Uncharacterized	-4.46789791316916	5.56108270109573	181.189922105224	2.66450581298734e-41	3.01755283320816e-39
BCIN_15g04750	Uncharacterized	3.65589476541526	4.53151657123823	180.504906883952	3.75992771632505e-41	4.20281790317009e-39
BCIN_08g03410	Uncharacterized	3.44626306848039	3.77739422490141	179.689805410257	5.66433194291535e-41	6.2503724400862e-39
BCIN_12g06430	Uncharacterized	2.85365754193345	8.11173117127245	179.39617256939	6.56540527657191e-41	7.15296749562715e-39
BCIN_08g06280	Uncharacterized	-2.91622622110728	3.45024904722171	178.869633418972	8.55518502366387e-41	9.20430968733436e-39
BCIN_05g01800	Uncharacterized	4.3366929221691	4.88597485123035	178.46992023009	1.04593940403617e-40	1.11140746302954e-38
BCIN_09g05390	Uncharacterized	-2.81151019557998	5.62846777726015	173.986619153124	9.96567173519549e-40	1.04603093444912e-37
BCIN_11g01980	Uncharacterized	3.44948028309206	6.33195008083331	173.230480320581	1.45758944352817e-39	1.51150269162012e-37
BCIN_02g04690	Uncharacterized	-8.36437929572233	10.5149790586994	172.588266928532	2.01320282602859e-39	2.04494070775603e-37
BCIN_10g01760	Uncharacterized	2.17163206543693	5.70481633331552	172.582038146039	2.01951853327829e-39	2.04494070775603e-37
BCIN_06g04090	Uncharacterized	3.1380435509611	3.00868668166686	170.782866029564	4.9909472792098e-39	4.99500967815799e-37
BCIN_01g11460	Uncharacterized	2.79999974042049	8.81950484033362	170.090016346554	7.07141050693363e-39	6.99581956703192e-37
BCIN_07g04370	Uncharacterized	-2.09856226917344	6.29638489713739	169.167607115397	1.12453233691234e-38	1.0998692981596e-36
BCIN_04g06340	Uncharacterized	3.12167627515153	4.283704576823	168.790561865887	1.35933104534789e-38	1.31458003452913e-36
BCIN_01g03360	Uncharacterized	5.57290735079513	5.69464018009841	168.749815462263	1.38747455517731e-38	1.32688816626791e-36
BCIN_06g02500	Uncharacterized	-1.7511390918516	5.41748758066469	168.068161213453	1.95484872204998e-38	1.84894318139387e-36
BCIN_09g05240	Uncharacterized	-6.36266006251363	7.87900994348806	167.888294073462	2.13993525959047e-38	2.00200247601034e-36
BCIN_12g00300	Uncharacterized	-2.99634789527781	7.30960010735869	166.065239885074	5.35321983165794e-38	4.95431861194407e-36
BCIN_05g03370	Uncharacterized	2.15966710204254	5.73032584325948	164.838428585634	9.92213204529327e-38	9.08508409721693e-36
BCIN_10g05630	Uncharacterized	-2.79343012980123	6.88127821129399	163.249009981052	2.20709953280908e-37	1.99963217672503e-35
BCIN_13g02070	Uncharacterized	-6.61369913340978	4.82639963533861	161.855575442529	4.44878688226222e-37	3.98861548912823e-35
BCIN_06g00520	Uncharacterized	3.67329136295564	3.266365151809	161.71493384414	4.77494133663179e-37	4.23689897777215e-35
BCIN_03g02600	Uncharacterized	-2.00932522484181	4.28931325826793	161.556986455854	5.16982121020473e-37	4.54047460777879e-35
BCIN_11g02620	Bchol1	4.48593459777357	6.09522318005816	161.150408180826	6.34312778250176e-37	5.51467685090835e-35
BCIN_09g04230	Uncharacterized	-2.54829590208497	2.93413347318446	160.136168073632	1.0565676992221e-36	9.09387818720464e-35
BCIN_02g07640	Bclcc7	3.21736374049453	9.54130695891132	159.478730131629	1.47075607417046e-36	1.25334629013714e-34
BCIN_06g02130	Uncharacterized	-2.07692373937136	5.33984703554588	159.455022001271	1.48840354785795e-36	1.25594993494248e-34
BCIN_08g05210	Uncharacterized	2.4212043820939	6.26253862219467	158.94023259181	1.92841019449426e-36	1.61143947029244e-34
BCIN_07g06050	Uncharacterized	3.58864042061197	6.34107642611476	157.951998257341	3.17051314229803e-36	2.62390448228454e-34
BCIN_05g02410	Uncharacterized	-2.5218351383404	2.95307968127697	157.772823308314	3.46960743081864e-36	2.84408677686248e-34
BCIN_02g04960	Uncharacterized	2.21127633223669	5.66384609926048	157.140574819715	4.7690573487062e-36	3.87238458493531e-34
BCIN_04g04800	Bcbrn1	3.85907910034518	9.25846938682471	156.365246628458	7.04455700756314e-36	5.66658898729869e-34
BCIN_13g02230	Uncharacterized	2.03246502702487	4.85356849520967	156.081415785884	8.12599209001518e-36	6.4759642517371e-34
BCIN_05g05650	Uncharacterized	3.79834740583496	3.80480639356616	154.660463837638	1.66109073377238e-35	1.31165210509898e-33
BCIN_06g04670	Uncharacterized	1.98446548630632	5.76980272481674	154.485469504338	1.81399316049824e-35	1.4193671938553e-33
BCIN_07g00370	Uncharacterized	5.34026467064951	3.96629803968915	154.407304365955	1.88676368306465e-35	1.46300675857094e-33
